text,Toxic,MedicalTerminology,NonToxic,MinorityGroup,sentence_length
аз пък си го ползвам редовно приложението и да чукам на дръвце не съм имала грижи,0.0,0.0,0.0,0.0,81
ще меря и връщам после  но моята структура е като на амфора  голямо дупе и бедра и прасец на фиданка,1.0,0.0,0.0,0.0,100
аз нищо не разбрах от спора честно казано в крайна сметка нали всички това казаха че не е нужно да имаш     кила тежести за хубаво дупе,1.0,0.0,0.0,0.0,135
бащите просто приемат техните виждания дали защото ги признават за по компетентни по тези въпроси дали защото не им се занимава с  глупости а и ако реши една свекърва да обсъжда подобни въпроси със сина си представям си какви писъци ще нададе снахата че е пренебрегвана изолирана и способностите й на майка подценявани,1.0,0.0,0.0,0.0,318
пак да кажа така се прави не рев и сополи няколко месеца после всички мъж са свине всички жени са меркантилни кучки,1.0,0.0,0.0,0.0,115
каква дъртоза бе хора време е за безразборен секс,1.0,0.0,0.0,0.0,49
започна да ака редовно почти всеки ден но акото е като каша дори като топче тесто днес,0.0,1.0,0.0,0.0,86
в това спешно е имало десетки други хора по времето в което буйстващия и плюещ идиот е бил там  колко други от колегите ти се разболяха и умряха,1.0,0.0,0.0,0.0,144
ти наистина си прост като гъз няма майтап,1.0,0.0,0.0,0.0,41
при секс без предпазни мерки винаги може да се стигне до бременност,0.0,1.0,0.0,0.0,67
задник баджаци окосмянане като жена си е вече,1.0,0.0,0.0,0.0,45
жените които са вторачени в задниците си за да угодят на някой мъж си слагат импланти не спортуват с тежести сакън да не им порастне бицепса като на мъж и въобще дези жените които визираш ги няма тук,1.0,0.0,0.0,0.0,199
вкъщи негър е забранена дума и не присъства в речника ни,1.0,0.0,0.0,0.0,56
шефът ти явно е идиот и му липсва грам емпатия но съм съгласна с коментарите че не трябва да отвръщаш по същия начин,1.0,0.0,0.0,0.0,116
пишете глупости с такова самочувствие което е присъщо само на глупаците,1.0,0.0,0.0,0.0,71
ами кофти тръпка си е да се надигнеш сам след подобна операция една такава прерязваща стягаща болка в гърдите която отминава за няколко секунди но определено е достатъчна да се замислиш дали си заслужава ставането,0.0,1.0,0.0,0.0,213
аз се бях пренаситила ноември и просто теглих една майна и чак февруари се почувствах подобре,1.0,0.0,0.0,0.0,93
включително и това че ако искам бързо да родя трябва да правим секс и най вече да свършвал вътре  защото спермата предизвиквала контракции и разширява шийката,0.0,1.0,0.0,0.0,158
имам дупе и крака колкото искаш вече корема си личи по отчетливо,1.0,0.0,0.0,0.0,64
разбира се не от всяко дърво става свирка  и то с практика се учат по клипчета ако ставаше щяхме сами и колите да си поправяме и всичко,0.0,0.0,1.0,0.0,135
върти се като перка става в количката също като го сложа да легне се изправя на дупе или се завърта по корем и иска да седне,0.0,0.0,1.0,0.0,124
секс може да се прави като спре кървенето дали ще ти се прави е друг въпрос,0.0,1.0,0.0,0.0,75
трябваше да си свирка както направиха другите,0.0,0.0,1.0,0.0,45
интензитет и тревожностпорното е често свързано с висока интензивност на удоволствие и ниско ниво на тревожност и притеснение  съотношение което не е типично за секс с партньор,0.0,1.0,0.0,0.0,176
и е чист секс без секс,1.0,0.0,0.0,0.0,22
даже една баба си чакаше в коридора без маска а като я попитах на какво е правела рентген каза  нещо ме болят гърдите т,0.0,1.0,0.0,0.0,119
да та еба у гъза яко и ти го напълним със сок,1.0,0.0,0.0,0.0,45
ама така беше написано че правенето на секс ми прозвуча като тежък и неприятен труд който ако не водеше до бременност не би бил извършван,1.0,0.0,0.0,0.0,137
спиритлайтс нито един не съм билатова чеи тропам устата и по чатове не ме прави жалкаписането може да е с много хора но ако всичко това са действия имам предвид секс тогава ще е жалко вече,1.0,0.0,0.0,0.0,188
преди си взимах адресите на имиджите директно оттам сега се опитва да ме прави на идиот и да ме препраща към оригинала в нета,1.0,0.0,0.0,0.0,125
и синът ми върти педали като луд за да разнася храна и да изкарва за прехраната си,0.0,0.0,1.0,0.0,82
той затова всеки път скача като ощипан само при споменаване на думата секс,1.0,0.0,0.0,0.0,74
така е но не им пречи да си го имат в нуждите когато бях на      годишните категорично не вярвах че правят секс laughing беше ми неприятно дори да си го помисля,1.0,0.0,0.0,0.0,160
но уточнявам че говоря за двойки които не се виждат само за секс а са гаджета,0.0,1.0,0.0,0.0,77
аз знам че с ниска плацента е подобре да не се прави секс щом не е отлепена всичко ще бъде наред,0.0,1.0,0.0,0.0,96
ако си доволна от него като отношение секс и т,0.0,1.0,0.0,0.0,46
не е хубаво да ги учиш на тая дава секс свободно не иска обвързване мога да не й звъня със седмици мога да не й отговарям като пише а като я потърся тя да е готова винаги,1.0,0.0,0.0,0.0,170
не знам какво го е провокиралоне е имало секс може нещо да съм изстинала стрес да искате при мен ама то кой го няма,0.0,1.0,0.0,0.0,115
утре сутринта ще наблегна на крака и дупе,0.0,0.0,1.0,0.0,41
проблемът винаги става негов но някои колективи просто са с особено голяма концентрация на идиоти злобари и комплексари,1.0,0.0,0.0,0.0,119
но както казах жените не са ги обучавали по съвсем разбираеми причини да не би масово да изнасилят всички жени и масово да падне морала на армиятада не би да настане бой за жените жени на бойното поле масово са разглеждани като курви идеята че жена така или иначе не може да се защити от мъж само ще отнема от вниманието на армията,1.0,0.0,0.0,0.0,331
иначе да чукам на дърво се чувства ок и се впусна в нормалното ежендевие,0.0,0.0,1.0,0.0,72
само да види коритото или легена за миене на дупе и полудява,0.0,0.0,1.0,0.0,60
куха лейка си ти и посестримите ти дето цял живот си ядат лайна и си мислят че е нормално да дрискат след всяка филия лютеница просто коремчето им се раздразнило чувствително е,1.0,0.0,0.0,0.0,176
всъщност дори и относително малко дупе при слаби жени ако е тренирана и с мускули те дават достатъчно обем и форма,0.0,1.0,0.0,0.0,114
а иначе и изневеряващите около мен не го правят от липса на секс напротив даже бая такъв си правят в браковете,1.0,0.0,0.0,0.0,110
след втората операция като минаха няколко превръзки пениса вече изглеждаше доста по добре докато след първа беше едно безформено парче месо тогава ни изграждаха каналчето,0.0,1.0,0.0,0.0,170
не казвам че тук случая е сходен но аз имам едно на ум при натякваща свекърва и мъж идиот в картинката,1.0,0.0,0.0,0.0,102
съгласна съм че е обидно да правиш секс ако не се чувстваш оценен тежи,0.0,1.0,0.0,0.0,70
за да има ефект върху бедра и глутеус дупе трябва да има конкретно натоварване за тези мускулни групи,1.0,0.0,0.0,0.0,101
хера и аз някакви такива догадки правя затова и тестовете ми допаднаха тъй като не сме по ежедневния секс или пък по график с определени дни а сега се ориентирам полесно,0.0,1.0,0.0,0.0,169
дърт дърт ама вече два века правя секс,1.0,0.0,0.0,0.0,38
smileyне съм чел всичко но май беше споменала в началото че сте започнали да правите секс нещо те заболяло и той спрял,0.0,1.0,0.0,0.0,118
голяма част от персонажите са представени като тотални глупаци,1.0,0.0,0.0,0.0,62
то прецаквация отвсякъде на всеки от всеки наркотици проституция откровени заговори за убийства и реализирани такива измами далавери ужаст на квадрат лесбийки хомосексуалисти смяна на пола политически игри и заговори курви секс проституция марихуана измами фалшификации луди онеправдани емигранти низвергнати расизъм то няма край,1.0,0.0,0.0,0.0,329
нищо сложно няма да му разбираме на този материал  поредната фантазия как ставаш сутрин с превъзходно кафе цял ден нищоправиш и си лягаш със симулатор за секс,1.0,0.0,0.0,0.0,158
щото то от всяко дърво свирка не става важен е майсторлъка,0.0,0.0,1.0,0.0,58
едната ти цица е по голяма от другата,1.0,0.0,0.0,0.0,37
гръцкият сценарий се поизтърка и той като плашило като започнат да идват гъркини да мият нашите задници и да ни берат черешите свиркай,1.0,0.0,0.0,0.0,134
ко е тва вложа от дърт хуй кожа,1.0,0.0,0.0,0.0,31
рокзвездата на сера,1.0,0.0,0.0,0.0,19
тротинетката я кара докъм пет години когато взехме поголяма балансовото също  каза че вече иска колело за големи с педали,0.0,0.0,0.0,0.0,121
аз съм с еднояйчни близнаци от ин витро почти   месец съм мен също много ме бяха наплашили че няма да мога да ги износя и какво ли още не ппнеже съм адски слаба но да чукам на дърво всичко ни е наред нямах никакви оплаквания   месеца в началото машко гадене с   пъти повръщане и това беше,0.0,1.0,0.0,0.0,288
чери ака вън като се прибере гъза се мие лапи мапи,1.0,0.0,0.0,0.0,50
ама да разчита че със супер секс ще ме омае така че да го взема на       дур конче,1.0,0.0,0.0,0.0,82
може дори да се разберете да започнете с вагинален секс и да приключите с орален или с ръка като компромисен вариант за двамата,1.0,0.0,0.0,0.0,127
ние с моя мъж си правим секс обикалям си не съм имала никакъв проблем до сега,1.0,0.0,0.0,0.0,77
препоръчвам на всички с проблеми с гнева повече секс,1.0,0.0,0.0,0.0,52
ако някой излиза с мен повече от месец и не напира за секс ще си имам едно на ум,1.0,0.0,0.0,0.0,80
или хормоналенможе би затова не иска секс,0.0,1.0,0.0,0.0,41
ама то едно време нее имало памперси  това си е абсолютно естествен процес ми бебето нее бейби борн с право черво  като му се дриска то почва да се кокори и суче  по лесно е да го заведеш да дрисне на гарне  дори и новородено  от колкото да се омаже до главата и после да му миеш задника или да мажеш с мокри кърпи  иначе за запирането на акото има бамбукови подложки  нещо като хартиена кърпа  слагаш в пелената и като дрисне  само я сгъваш и хвърляш  а останалоо переш  ако е кърмено  докато е само на цици може директно в пералнята защото акото е такова водорастворино  после обаче като почне да плюска пюрета ако попадне някъде на пелената да трябва да запереш  но но на   месеца може ла си го учиш и на гърне  вече ще си хванала цака кога сере със сигурност  или да ползваш тия подложки,1.0,1.0,0.0,0.0,791
а вчера се намърдвам в лятна тениска без яке е гледам дупе назад корем напред ръцете висят ужас,1.0,0.0,0.0,0.0,95
винаги има възможност партньорите да инжектират малко вълнение в живота си хубава вечеря секси бельо пътуване някъде може и похард неща в зависимост от двойката  какво лошо и страшно има на    и няколко да кажеш на партньора си че не ти се живее без секс,0.0,1.0,0.0,0.0,254
той работи спортува и да прави секс,1.0,0.0,0.0,0.0,35
е поне секс ще правите,1.0,0.0,0.0,0.0,22
този шибан човек не е за нашата фирма,1.0,0.0,0.0,0.0,37
повечето ми омъжени приятелки винаги са оплаквали от прекалено често искащ секс мъж а не от обратното,0.0,1.0,0.0,0.0,101
разбирам го момичето че е било впечатлено от факт че не давал зор за секс но и при тоя тип мъже си има подводни камъни,1.0,0.0,0.0,0.0,118
лаленце секс е било,1.0,0.0,0.0,0.0,19
за секс и разнообразие ставано за дълготрайна връзканеизключвам случаите когато тунингована мацка си търси спонсор,1.0,0.0,0.0,0.0,114
ще се меря утре дано нещо помръдне че коремището ми е огромно че и гъз съм заформила ужас,1.0,0.0,0.0,0.0,89
е да ама аз само откъм задник съм модерна цици нямам,1.0,0.0,0.0,0.0,52
не може така бай хуй ще каже на богаташа какво да прави,1.0,0.0,0.0,0.0,55
само да кажа че не сме правили секс но и двата дни ги прекарахме целите заедно и после изчезна,1.0,0.0,0.0,0.0,94
викаш джастев ако е само секс не го притеснява човека,1.0,0.0,0.0,0.0,53
ся кво отглеждам не знам само се надявам да не стане задник joy,1.0,0.0,0.0,0.0,63
скандали и липса на секс това нормален брак ли е,0.0,1.0,0.0,0.0,48
то при такова отношение какъв секс rollingeyes,1.0,0.0,0.0,0.0,46
а до тогава ако той ти е толкова златен  се научи къде ти е мястото в килера като прислужница балама която му плаща ипотеката и с бонус секс когато му скимне,1.0,0.0,0.0,0.0,157
ами да аз както казах по горе от едната гърда ще мине повече от година  а от другата  година тоест би трябвало вече да се нормализирали и да са си заели крайния резултат хаха коитоо не е зле но ми е влязло сега в главата това с уголемяването аз няма да прекалявам  не търся и не искам ефект в който като говоря с някого ще ме гледа в гърдите,0.0,1.0,0.0,0.0,341
за което съм благодарна  защото го гледа  тъпото е само  че е идиот чисто човешки,1.0,0.0,0.0,0.0,81
в квартирата ни един път не ми свали пердетата да ги изпера бяха станали на гъз а пред тях все негови вещи мебели тежки неща и пр,1.0,0.0,0.0,0.0,129
не че нещо но ако равена искаше секс с млади мъже щеше да щракне с пръсти и да си избере кой от тях в кой хотел да я води за негова сметка,1.0,0.0,0.0,0.0,138
иначе  те ми забременявания са след секс на      ден ама овуто ми беше ранно,1.0,0.0,0.0,0.0,76
плаща наем на мъжа домакинства секс правят а той държи католог с голи снимки на бившите и един комплимент не може да й направи joyplayer   всъщност е много логично,1.0,0.0,0.0,0.0,163
а защо този секс го причинява а не предишните,1.0,0.0,0.0,0.0,45
има и песен за една от гонзовиците чеpвено бели xyлигани ебали цеца жената на гонзо еба я косьо и цялo pота курвето цеца от cело мездра,1.0,0.0,0.0,0.0,135
алмдажиами ти сама ги нарече тримата глупаци d та може да е успяла да избяга излезе от къщата и да звънне,1.0,0.0,0.0,0.0,105
точно в неделя като бяхме на кафе ми разправяше как за мъжете секс не означва нищо и може цяла седмица да са с някоя мацка и да спят с нея после като си тръгнат няма дори да си спомнят,1.0,0.0,0.0,0.0,184
на нейната фигура е трябвало да й сложат много по малки гърди,0.0,1.0,0.0,0.0,61
сега пък ме тресат нерви и пмс но гърдите не ме болят,0.0,1.0,0.0,0.0,53
те всички простотии идват от там,1.0,0.0,0.0,0.0,32
миналата гидина сме правили секс четири пъти за тази година нито веднъж,0.0,1.0,0.0,0.0,71
пълни глупости не знае какво му се прави ама първо ще наеме апартамент и после ще го приспособява за бизнеса след като разбере какво му се прави и ще включва родата на помощ,1.0,0.0,0.0,0.0,173
и си лафим и девойката ми разправя  майка ми ме пита дали с теб правим секс,1.0,0.0,0.0,0.0,75
пита ме удари ли сеаз се хиля като идиот,1.0,0.0,0.0,0.0,40
ей ше ти еба и номерата много отворен стана,1.0,0.0,0.0,0.0,43
сера мяса на над    и извън джемре просто чертите и са груби,1.0,0.0,0.0,0.0,60
след като споделих че съм имала разлика в теглото преди и след раждане    кг качих и свалих и му споделих че съм била с голям размер гърди се усмихна и каза че ще станат нещата с голям имплант без разлика в размера на импланти и всичко ще е чудесно,0.0,1.0,0.0,0.0,248
лека и събира уникално количество глупости които сме склонни да мъкнем ние жените макар че се опитвах да не я тъпча освен малък портфейл два чифта очила руж червило имаше място и за цигари телефон мокри и сухи кърпи последните четири нямам навик да мъкна в чантата и въпреки всичко оставаше място за още,1.0,0.0,0.0,0.0,303
от жена си получава секс манджи и гледане на дете от колежката романтика,1.0,0.0,0.0,0.0,72
и сера и беркер както винаги бяха много красиви,1.0,0.0,0.0,0.0,47
секс и на искъра мога да правя ако ми е зор,1.0,0.0,0.0,0.0,43
и каква им е зсслугата че някои идиоти да обиждат детето,1.0,0.0,0.0,0.0,56
тасоссамотракилимнос лемнос лесбос митилини хиосикариясамосспорадичетири прекрасни зелени острова,0.0,0.0,0.0,0.0,97
но с такъв секс до живот аз ще се гръмна въпреки любовта ми към него,1.0,0.0,0.0,0.0,68
храна въздух и секс,0.0,1.0,0.0,0.0,19
не се получават само защото си се родил или си правил секс,1.0,0.0,0.0,0.0,58
наистина ми е любопитно  в какво се е изразявал хубавия секс като няма прегръдки и целувки,1.0,0.0,0.0,0.0,90
за дупе освен клекове и напади добре си се отразяват всички видове нападимахове ритници и т,1.0,0.0,0.0,0.0,91
аз под неангажиращи отношения на жена с дете разбирам просто да не се ангажира и да няма отговорност да е втори баща съпруг да няма ангажимент към всички битовизми свързани със съвместно съжителство и общ бюджет а не просто някой който предлага секс със съмнително качество,1.0,0.0,0.0,0.0,273
оф фънки е тъпанар,1.0,0.0,0.0,0.0,18
гърдите ми от много години са пълни с кисти с всякакви размери принципно и ми се видя логично,0.0,1.0,0.0,0.0,93
абе хубавият секс си е важно нещо,1.0,0.0,0.0,0.0,33
тия ми готвят кур капан,1.0,0.0,0.0,0.0,23
заради идиоти като вас от и така нататък и предаванията ви по идиотската ви телевизия ваксинацията е на нивото на което е,1.0,0.0,0.0,0.0,121
отново облягаме задници на студения камък и се връщаме на мястото където започна денят ни,1.0,0.0,0.0,0.0,89
хартия с разрязаната част надолу и     дупетата    нагоре не е моя снимката cdn,1.0,0.0,0.0,0.0,79
тоя алп не ме кефи а айча не се ли страхува че ще омръзне на зрителите няма почивка за нея скача от сериал в сериал expressionlessох новото гадже на сера laughingcdn,1.0,0.0,0.0,0.0,165
няма осъдени а цял свят прави секс,1.0,0.0,0.0,0.0,34
на дупе,1.0,0.0,0.0,0.0,7
леле на т ва порно колко съм бил кучето,1.0,0.0,0.0,0.0,39
можете ли да си представите как на комисия в американския сенат или другаде в нормална правова държава бизнесмен започва да обяснява от първо лице за прибрани пари от дарени стоки платен секс натиск от найвисоко ниво да бъдат пренебрегнати нередовни документи за негови хранителни стоки и всичко останало от днес и гласоподавателите да махнат с ръка и да кажат  е нормално ако не помогне на приятел  на кого,1.0,0.0,0.0,0.0,407
ама сера,1.0,0.0,0.0,0.0,8
накрая се обърна към денислава и й каза “верно ли бе идиот,1.0,0.0,0.0,0.0,58
малеее аз ли съм най голямото дърво grinningсамо при мисълта за секс и ме хваща паника,1.0,0.0,0.0,0.0,86
важното е че не се влошава да чукам на дърво,0.0,0.0,1.0,0.0,44
ако един    годишен хлапак ти предложи връзка ще си помислиш ли и за миг че иска деца семейство а не само секс и компания,1.0,0.0,0.0,0.0,121
в началото ми беше странно че няма сперма,0.0,1.0,0.0,0.0,41
една жена ако е разбита от секс и напълно задоволена ще иска да се сгуши до любимия и да заспи а не да хукне да му готви посред нощите,1.0,0.0,0.0,0.0,134
и на сутринта порите ми са пълни с чернилка,0.0,0.0,1.0,0.0,43
вчера един приятел прави секс на другото легло и се мушнах при тях,1.0,0.0,0.0,0.0,66
пак ме върнахте в пубертетна възраст с моя братовчедка се бяхаме докопали до нейните видеокасети с упражнения и що столове на бабите изпочупихме да скачаме върху тях за дупе  хахаххахахааз съм на   седм на лифта ама чак сега усещам че то де факто  тренировки са само горна част и   долна,1.0,0.0,0.0,0.0,287
тоя глупак колкото е дълъг толкова е и прост,1.0,0.0,0.0,0.0,44
за какво ми е такова поведениеако исках да правя секс с всеки срещнатси мога и без фейсбук,1.0,0.0,0.0,0.0,90
абе той човекът обясни че не познава никой от фирмата още по малко пък шефа ама нали знаеш тръгне ли веднъж че сестра ти е курва иди обяснявай че нямаш сестра,1.0,0.0,0.0,0.0,158
дупе тихомълком само ароматът от изнизването да навява спомени за теб,1.0,0.0,0.0,0.0,69
за да му готвя и да му чистя и да му осигурявам сигурен секс а той да се развлича с други жени,1.0,0.0,0.0,0.0,94
кейт бекинсейл в евтино порно ли снима,1.0,0.0,0.0,0.0,38
след дезертирането на лидера борисов от собствената му партия там остават само безгръбначни идиоти и неадекватници,1.0,0.0,0.0,0.0,114
не зная каква е варненската моторджийска тукашната е банална на бай ти ганя заплюл си място и като не си ясновидец осъмваш със спукана гума надрана кола и прочие простотии,1.0,0.0,0.0,0.0,171
в моята компания не бих казала че жените седят без секс,1.0,0.0,0.0,0.0,55
ако петка е жена на гошо но е правила секс и със съседа петко тя е курва ако е правила секс с половината село тя е кучка защото има репродуктивните навици на женско куче,1.0,0.0,0.0,0.0,169
сестра ми дори ми каза влезна ли в  тия всеки ден секс,1.0,0.0,0.0,0.0,54
отново пълни глупости,1.0,0.0,0.0,0.0,21
този идиот е голям вол,1.0,0.0,0.0,0.0,22
никой не се чувства длъжен да прави секс заради една платена сметка още помалко пък се чувства купен,1.0,0.0,0.0,0.0,100
всеки има различни разбирания за това що е то качествен секс,1.0,0.0,0.0,0.0,60
