text,Toxic/Indecent,Medical/Biological,Multiple Meanings,Related to LGBT/Other,sentence_length
Също така не забравяйте да споменете за повтарящите се инфекции през последните месеци.,0,0,0,0,87
Промени поради бактерии и други.,0,0,0,0,32
"Единствените оплаквания, които имам от доста време са леко течение, без мирис, болка или сърбеж и често уриниране.",0,0,0,0,114
"Микробиологията ми е чиста, нямам хламидия, микоплазма, трихомони, но ми откриха уреаплазма.",0,0,0,0,92
"Минах курс с антибиотик и скоро ще пусна контролни изследвания.Въпросът ми е с обикновената микробиология открива ли се гонорея, защото и тя е една от причините за цервицит.",0,0,0,0,173
Ако трябва да пусна отделно и за това.Предварително благодаря.,0,0,0,0,62
Промени поради бактерии и други.,0,0,0,0,32
"Единствените оплаквания, които имам от доста време са леко течение, без мирис, болка или сърбеж и често уриниране.",0,0,0,0,114
"Микробиологията ми е чиста, нямам хламидия, микоплазма, трихомони, но ми откриха уреаплазма.",0,0,0,0,92
"Минах курс с антибиотик и скоро ще пусна контролни изследвания.Въпросът ми е с обикновената микробиология открива ли се гонорея, защото и тя е една от причините за цервицит.",0,0,0,0,173
"Ако трябва да пусна отделно и за това.Предварително благодаря.Здравейте!Необходимо е да уточните, че желаете да направите изследване за гонорея, като кажете още на лекаря, който ще вземе пробата.Ако не сте се изследвали за хламидии, може да го направите - тази инфекция също може да причини цервицит и е много често срещана полово предавана болест.",0,0,0,0,348
Благодаря предварително!,0,0,0,0,24
Лактобактерии в норма.,0,0,0,0,22
Епителни клетки.,0,0,0,0,16
Лактобактерии в норма.,0,0,0,0,22
"Епителни клетки.Здравейте, vanya_an89!Възможно е да имате леко възпаление/инфекция.",0,0,0,0,83
Не споменавате дали имате някакви симптоми.,0,0,0,0,43
"Ако секретът е взет около менструация, е възможно да се появят левкоцити в резултата, без да означава това, че имате възпаление или инфекция.Може да си пуснете кръвен тест за хламидии.",0,0,0,0,184
Единствено оплакване е белезникаво течение без миризма.,0,0,0,0,55
"Преди да се вземе секрет правих изследвания ц-реактивен протеин, което беше в норма и нямаше възпаление.",0,0,0,0,104
"За хламидия съм правила миналата година, резултата беше отрицателен",0,0,0,0,67
Единствено оплакване е белезникаво течение без миризма.,0,0,0,0,55
"Преди да се вземе секрет правих изследвания ц-реактивен протеин, което беше в норма и нямаше възпаление.",0,0,0,0,104
"Не е ли много продължително това лечение, в листовката пише, че се прилага само за 2дни",0,0,0,0,87
"Не е ли много продължително това лечение, в листовката пише, че се прилага само за 2дниПо преценка на лекар (като вземе предвид анамнеза, преглед, изследвания) може да се прилага друга схема на употреба.",0,0,0,0,203
Сегментоядрени левкоцити.,0,0,0,0,25
Епителни клетки.,0,0,0,0,16
"Лактобактерии в нормаМоже ли да ли кажете в микробиологията при наличие на микоплазма, уреаплазма и трохомони изолират ли се или трябва да се на значат допълнително?Другото, което ме притеснява е отново наличието на левкоцити след проведеното лечение, нормално ли е или трябва да се търси друга причина?",0,0,0,0,303
Сегментоядрени левкоцити.,0,0,0,0,25
Епителни клетки.,0,0,0,0,16
Левкоцити.,0,0,0,0,10
Лактобактерии слабо представени.,0,0,0,0,32
Епителни клетки.Има ли нещо притеснително?,0,0,0,0,42
Относно лактобактериите има ли проблем?,0,0,0,0,39
Левкоцити.,0,0,0,0,10
Лактобактерии слабо представени.,0,0,0,0,32
Епителни клетки.Има ли нещо притеснително?,0,0,0,0,42
На 29.01.20 г ми правиха абразио на шийката на матката и хистологията показа Цин 1.,0,0,0,0,83
"На 11.02.20г си изследвах всички високорискови и нискорискови щамове за ЧПВ и се оказаха отрицателни , а на 13.02.20 г правих цитонамазка - Суперфициални и суперфициално- Интер удивени базофилни клетки с малки ядра и нагъната цитоплазма , част от които с дистрофични промени.",0,0,0,0,275
Комплекси и голи ядра Пт ендоцервикалната жлезист епител с дистрофични промени и белези на плоскоклетъчна метаплазия.,0,0,0,0,117
"Комплекси и единични Интер удивени плоски клетки с лек ядрен полиморфизъм , без хипер- и полихромазия.",0,0,0,0,102
Масово левкоцити.,0,0,0,0,17
Колпит и ендоцервицит.,0,0,0,0,22
Високо хормонално ниво.,0,0,0,0,23
Пап-2.,0,0,0,0,6
Всички изследвания са от различни лаборатории.,0,0,0,0,46
Какво означава всичко това?,0,0,0,0,27
Направена е и цитонамазка и ще чакаме резултатите.,0,0,0,0,50
"Лекаря ми препоръча обгаряне, защото имам обилно течение.",0,0,0,0,57
"Преди години ми беше обгорена раничка та с лекарство, но беше значително по-малка около 2стотинки.",0,0,0,0,98
"Препоръчва ли се второ обгаряне на такива ранички, има ли рискове и възможно ли е да се появява отново след определено време?",0,0,0,0,125
Направена е и цитонамазка и ще чакаме резултатите.,0,0,0,0,50
"Лекаря ми препоръча обгаряне, защото имам обилно течение.",0,0,0,0,57
"Преди години ми беше обгорена раничка та с лекарство, но беше значително по-малка около 2стотинки.",0,0,0,0,98
"Препоръчва ли се второ обгаряне на такива ранички, има ли рискове и възможно ли е да се появява отново след определено време?Здравейте, vanya_an89!Преценката за подходящия метод на лечение е на акушер-гинеколога не само след преглед, но и след получаване на резултатите от изследвания (степента на дисплазия и т.н.).",0,0,0,0,316
Излезе ми цитонамазката - Суперфициални базофилни клетки с малки ядра и нагъната цитоплазма.,0,0,0,0,92
Дьодерлайнови бактерии.,0,0,0,0,23
"Много левкоцити , сред които има комплекси и голи ядра от ендоцервикалната жлезист епител , без цитологични промени или с плоскоклетъчна метаплазия .",0,0,0,0,149
"Комплекси и единични интермедиерни плоски клетки с лек ядрен полиморфизъм , без хипер- и полихромазия.",0,0,0,0,102
Ендоцервицит.,0,0,0,0,13
"Високо хормонално ниво, при относително ниско естрогенно.",0,0,0,0,57
ПАП 2 гр.,0,0,0,0,9
Трябва ли да се притеснявам ?,0,0,0,0,29
Какви са тези бактерии с какво да ги лекувам.,0,0,0,0,45
Какво означава нисък естроген ?,0,0,0,0,31
"Лекарката не ми изписа нищо , но този ендоцервицит преди три месеца пак го имаше в цитонамазката , как да го лекувам ?",0,0,0,0,118
Възможно ли е да има дисплазия ?,0,0,0,0,32
Благодаря ви предварително !,0,0,0,0,28
Излезе ми цитонамазката - Суперфициални базофилни клетки с малки ядра и нагъната цитоплазма.,0,0,0,0,92
Дьодерлайнови бактерии.,0,0,0,0,23
"Много левкоцити , сред които има комплекси и голи ядра от ендоцервикалната жлезист епител , без цитологични промени или с плоскоклетъчна метаплазия .",0,0,0,0,149
"Комплекси и единични интермедиерни плоски клетки с лек ядрен полиморфизъм , без хипер- и полихромазия.",0,0,0,0,102
Ендоцервицит.,0,0,0,0,13
"Високо хормонално ниво, при относително ниско естрогенно.",0,0,0,0,57
ПАП 2 гр.,0,0,0,0,9
Трябва ли да се притеснявам ?,0,0,0,0,29
Какви са тези бактерии с какво да ги лекувам.,0,0,0,0,45
Какво означава нисък естроген ?,0,0,0,0,31
"Лекарката не ми изписа нищо , но този ендоцервицит преди три месеца пак го имаше в цитонамазката , как да го лекувам ?",0,0,0,0,118
Възможно ли е да има дисплазия ?,0,0,0,0,32
"Благодаря ви предварително !Здравейте, Evka!Няма данни за дисплазия.",0,0,0,0,68
Резултатът ПАП 2 е нормален за полово активна жена и е често срещан.,0,0,0,0,68
Ендоцервицит означава възпаление на лигавицата на цервикалния канал на шийката на матката - ендоцервикса.,0,0,0,0,105
При изявено възпаление се препоръчва терапия.,0,0,0,0,45
"Доста се притесних ,че СА 125 е 1.30 при по- малко от 35 тук добре , но Не4  е 77,40 тук вече изтръпнах .",0,0,0,0,105
"FSH 4,43 , Lh 2,5 , прогестерон 0,80 , естрадиол 307 .",0,0,0,0,54
"Нямам цикъл от 41 дни и затова пуснах всичко , иначе кръвна картина , биохимия , урина  всичко е много- добре.",0,0,0,0,110
"С- реактивен протеин 0,40 при стойности до 5.",0,0,0,0,45
Моля ви има ли нещо страшно при тези резултати особено при Не 4 - маркер.,0,0,0,0,73
"Доста се притесних ,че СА 125 е 1.30 при по- малко от 35 тук добре , но Не4  е 77,40 тук вече изтръпнах .",0,0,0,0,105
"FSH 4,43 , Lh 2,5 , прогестерон 0,80 , естрадиол 307 .",0,0,0,0,54
"Нямам цикъл от 41 дни и затова пуснах всичко , иначе кръвна картина , биохимия , урина  всичко е много- добре.",0,0,0,0,110
"С- реактивен протеин 0,40 при стойности до 5.",0,0,0,0,45
"Всъщност аз съм на 42 години и не знам кои стойности трябва да гледам- едните са под 70 , а другите до 140 .",0,0,0,0,108
В кои стойности влизам.,0,0,0,0,23
"Гинеколожката каза да се посъветвам с ендокринолог , защото ТАТ и МАТ са ми завишени и след това да и се обадя да ми изпише нещо за пролактина , че и той е леко завишен 29 при стойности 26.",0,0,0,0,189
"Трябва ли да ме успокоява факта , че СА125 е 1,30 - всъщност в граница.",0,0,0,0,71
Много въпроси извинявам се много.,0,0,0,0,33
Само искам да знам кои стойности трябва да гледам за Не 4.,0,0,0,0,58
"Имам проблеми с цикъла от две , три  години .",0,0,0,0,45
Пих оргаметрил две години .,0,0,0,0,27
"Сутринта преди да дам изследването пуших една цигара само, четох че не трябва да се пушело ама късно го видях.",0,0,0,0,110
Благодаря ви предварително !,0,0,0,0,28
"Лекарката каза , че съм навлязла в менопауза.",0,0,0,0,45
"Всъщност аз съм на 42 години и не знам кои стойности трябва да гледам- едните са под 70 , а другите до 140 .",0,0,0,0,108
В кои стойности влизам.,0,0,0,0,23
"Гинеколожката каза да се посъветвам с ендокринолог , защото ТАТ и МАТ са ми завишени и след това да и се обадя да ми изпише нещо за пролактина , че и той е леко завишен 29 при стойности 26.",0,0,0,0,189
"Трябва ли да ме успокоява факта , че СА125 е 1,30 - всъщност в граница.",0,0,0,0,71
Много въпроси извинявам се много.,0,0,0,0,33
Само искам да знам кои стойности трябва да гледам за Не 4.,0,0,0,0,58
"Имам проблеми с цикъла от две , три  години .",0,0,0,0,45
Пих оргаметрил две години .,0,0,0,0,27
"Сутринта преди да дам изследването пуших една цигара само, четох че не трябва да се пушело ама късно го видях.",0,0,0,0,110
"Благодаря ви предварително !Здравейте, Evka!Преди няколко месеца Ви бяхме написали, че ниското ниво на естроген сигнализира за навлизане в менопауза.За разлика от CA125, тютюнопушенето изглежда е важен фактор, който влияе върху резултата на серумния HE4.",0,0,0,0,254
Нивото на HE4 се увеличава от 20 на 30% при пушачите в сравнение с непушачите.,0,0,0,0,78
"Така че, нивото на HE4 трябва винаги да се тълкува внимателно при пушачи, тъй като може да се тълкува погрешно като фалшиво положителен резултат.",0,0,0,0,145
"В допълнение, прием на контрацептиви/хормонална терапия, съдържащи естроген плюс прогестин, както и добавки с биотин също повлияват резултата на изследването на HE4.",0,0,0,0,165
"Освен това предвид, че навлизате в менопауза и възрастта Ви, стойността на HE4 може да се счита в нормата.Може да повторите изследването, като не пушите поне 24 часа преди него и не приемате никаква лекарства/добавки.",0,0,0,0,217
"Обаче имам симптоми като парене,болка,миризма.течение и някой път лек сърбеж,които не са постоянни,но са чести и се получават като ми се наруши флората.Чувствам се добре като пия витамини и пробиотици,всички симптоми изчезват,защото флората влиза в норма.Как да я възстановя за постоянно и защо не иска да се възстановява?Така се чувствам вече повече от година и половина, а искаме да имаме и второ дете,а съм почти на 38.И знам че ако продължава така ще стигна до нещо по-сериозно.Преди ендоцервицита имах ранийчка на шийката,(изгорена) и бактериална вагиноза,лекувана с Флажил орален и вагинален.След като изпих антибиотика получих всичките симптоми който описах по-горе.Дължа го на това че флората ми беше нарушена и антибиотика доуби малкото добри бактерии.Спрях цигарите,само за да се оправя и има леко подобрение.но само това е,но това го дължа на изминало време.Имам и Хашимото не знам това дали влияе.Като бях по-млада имах много цистити и гъбички и също имах такива симптоми като сега но тогава се оправих от само себе си,защото бяха за кратко.Бихте ли ми дали съвет как да си оправя флората,за да се възстановя?Какво да пия като ми няма нищо след изследвания?Благодаря предварително.",0,0,0,0,1193
На 9 - ти ден от цикъла съм.,0,0,0,0,28
"Каква е тази киста , опасна ли е , гинеколожката не ми изписа нищо и каза след 3 месеца да отида да я види дали се е спукала.",0,0,0,0,125
"Ама на мен ми е притеснено , не мога да открия нищо за такава киста в интернет, може ли да премине в рак?",0,0,0,0,105
Какво мога да пия междувременно  през тези 3 месеца за да се спука без хормони ако може.,0,0,0,0,88
"И още нещо ОЕЕС какво е пише , че е цепковиден , раждала съм  това нормално ли е , питам , защото миналата година за ОЕСС пишеше овален.",0,0,0,0,136
Благодаря ви предварително!,0,0,0,0,27
Излезе ми и цитонамазката: Дистрофични Суперфициални и суперфициално- интермедиерни базофилни клетки с малки ядра и нагъната цитоплазма.,0,0,0,0,136
Липсва ендоцервикален жлезист епител.,0,0,0,0,37
"Комплекси и единични интермедиерни плоски клетки с лек ядрен полиморфизъм, без хипер- и полихромазия.",0,0,0,0,101
Много левкоцити.,0,0,0,0,16
Колпит.,0,0,0,0,7
Високо хормонално ниво.,0,0,0,0,23
ПАП -2.,0,0,0,0,7
"Трябва ли да се притеснявам, защото пак нищо не ми изписаха било добър резултат .",0,0,0,0,81
"Вече трябва да се лекувам сама , като чета от форумите кой как са го лекували .",0,0,0,0,79
Дано ми отговорите.,0,0,0,0,19
Благодаря ви предварително!,0,0,0,0,27
На 9 - ти ден от цикъла съм.,0,0,0,0,28
"Каква е тази киста , опасна ли е , гинеколожката не ми изписа нищо и каза след 3 месеца да отида да я види дали се е спукала.",0,0,0,0,125
"Ама на мен ми е притеснено , не мога да открия нищо за такава киста в интернет, може ли да премине в рак?",0,0,0,0,105
Какво мога да пия междувременно  през тези 3 месеца за да се спука без хормони ако може.,0,0,0,0,88
"И още нещо ОЕЕС какво е пише , че е цепковиден , раждала съм  това нормално ли е , питам , защото миналата година за ОЕСС пишеше овален.",0,0,0,0,136
"Благодаря ви предварително!Здравейте!Относно Вашия въпрос за кистата: по описанието, което сте дали, кистата няма притеснителен характер.",0,0,0,0,137
"Добре е да се проследи нейното развитие, особено при симптоми на болки или проблеми с цикъла бих препоръчала гин.",0,0,0,0,113
"преглед, а при липса на симптоми по-възможност контрола след  2 месеца от последния преглед.",0,0,0,0,92
Най-вероятно тя ще изчезне сама.,0,0,0,0,32
"Ако искате да поощрите хормоналния си баланс може да пробвате (според Вашето желание-нехормонално) с билката бял равнец, примерно под формата на чай има изключително благоприятно действие за женския организъм.Относно OECC-ostium external cervical canal, гинекологични описания, които нямат за Вас важен характер.Всичко добро!Д-р Яница Раеваакушер-гинеколог",0,0,0,0,356
Излезе ми и цитонамазката: Дистрофични Суперфициални и суперфициално- интермедиерни базофилни клетки с малки ядра и нагъната цитоплазма.,0,0,0,0,136
Липсва ендоцервикален жлезист епител.,0,0,0,0,37
"Комплекси и единични интермедиерни плоски клетки с лек ядрен полиморфизъм, без хипер- и полихромазия.",0,0,0,0,101
Много левкоцити.,0,0,0,0,16
Колпит.,0,0,0,0,7
Високо хормонално ниво.,0,0,0,0,23
ПАП -2.,0,0,0,0,7
"Трябва ли да се притеснявам, защото пак нищо не ми изписаха било добър резултат .",0,0,0,0,81
"Вече трябва да се лекувам сама , като чета от форумите кой как са го лекували .",0,0,0,0,79
Дано ми отговорите.,0,0,0,0,19
Благодаря ви предварително!Здравейте!Различните цитологични лаборатории работят с доста различни класификации една от друга.,0,0,0,0,124
Добре е личният гинеколог да познава лабораторията Ви и да даде оценка на резултата.,0,0,0,0,84
Съответно има различни групи и подгрупи на диагнозата  от цитонамазка.,0,0,0,0,70
"Т.е група ПАП 2 не винаги е цялостната диагноза от цитонамазка.В случая е упоменат колпит (вагинално възпаление), от тук следва въпросът дали не е необходима микробиология, дали имате някакви вагинални симптоми?",0,0,0,0,211
"Има ли резон в този упоменат термин ""колпит"" в резултата.Поздрави,Д-р Яница Раеваакушер-гинеколог",0,0,0,0,97
На 09.03.21г си пуснах отново туморните маркери He4 и СА125 както бяхте ме посъветвали.,0,0,0,0,87
"Резултатите са следните: He4 сега е 71.80  не съм пушила сутринта , което донякъде е успокоително , че може да е с такива стойности защото съм пушачка и то сериозна пуша по кутия на ден , вечер пия куркума , една добавка Седемчатка , витамин D , цефасел, през деня пия геритамин и гъби- шийтаке , рейши и майтаке.",0,0,0,0,313
"Някъде бях чела , He4 за възраст от 40 до 45 години стойностите са 76 и нещо.",0,0,0,0,77
"В референтните стойности които са посочени под 70 е много обобщаващо , защото неможе жена на 42 години да се сравнява с жена на 25 или 35 години.",0,0,0,0,145
"Много го мисля този маркер , притеснявам се .",0,0,0,0,45
"А другият СА 125 е 6.80 той се е повишил може би заради кистата която имам и ви бях споделила , не е мнго висок нали така при стойности под 35 .",0,0,0,0,144
Дано можете да ме посъветвате нещо как да го смъкна още малко този He4 .,0,0,0,0,72
"Макар,че сега не съм правила нищо освен че не пуших сутринта.",0,0,0,0,61
Октомври месец He4 беше 77.40.,0,0,0,0,30
А Са125 беше 1.30 .,0,0,0,0,19
Благодаря ви предварително!,0,0,0,0,27
На 09.03.21г си пуснах отново туморните маркери He4 и СА125 както бяхте ме посъветвали.,0,0,0,0,87
"Резултатите са следните: He4 сега е 71.80  не съм пушила сутринта , което донякъде е успокоително , че може да е с такива стойности защото съм пушачка и то сериозна пуша по кутия на ден , вечер пия куркума , една добавка Седемчатка , витамин D , цефасел, през деня пия геритамин и гъби- шийтаке , рейши и майтаке.",0,0,0,0,313
"Някъде бях чела , He4 за възраст от 40 до 45 години стойностите са 76 и нещо.",0,0,0,0,77
"В референтните стойности които са посочени под 70 е много обобщаващо , защото неможе жена на 42 години да се сравнява с жена на 25 или 35 години.",0,0,0,0,145
"Много го мисля този маркер , притеснявам се .",0,0,0,0,45
"А другият СА 125 е 6.80 той се е повишил може би заради кистата която имам и ви бях споделила , не е мнго висок нали така при стойности под 35 .",0,0,0,0,144
Дано можете да ме посъветвате нещо как да го смъкна още малко този He4 .,0,0,0,0,72
"Макар,че сега не съм правила нищо освен че не пуших сутринта.",0,0,0,0,61
Октомври месец He4 беше 77.40.,0,0,0,0,30
А Са125 беше 1.30 .,0,0,0,0,19
Благодаря ви предварително!Здравейте и комплименти за множеството грижи за Вашия организъм под формата на витамини и добавки.,0,0,0,0,125
"Разбирам, че някой от колегите Ви е препоръчал контрола на туморните маркери (аз не съм запозната с казуса, причината).",0,0,0,0,119
CA125 в мерни единици U/ml е в норма.,0,0,0,0,37
Както и HE 4 във възраст 40-49 J.,0,0,0,0,33
"нормата е < 76,2 pmol/lБих Ви препоръчала да спрете или поне намалите цигарите, може да помислите за алтернативни подпомагащи методи (например акупунктура).Поздрави!Раева",0,0,0,0,170
"Отново правих цитонамазка , която излезе нормална - Клетъчни елементи от сквамозен и ендоцервикален епител/ Суперфициални, интермедиерни и цилиндрични клетки.",0,0,0,0,158
Умерен брой неутрофилни левкоцити.,0,0,0,0,34
ПАП 2 .,0,0,0,0,7
"Какви са тези неутрофилни левкоцити , има ли още възпаление?",0,0,0,0,60
"През 2020 Януари с биопсия се установи CIN 1  аз отказах конизация , тогава ЧПВ беше отрицателно за всички високо рискови щамове все ме е страх да не закъснея за някой рак на шийката .",0,0,0,0,184
От тогава до сега имам 4 цитонамазки които са 2- ра група .,0,0,0,0,59
"Двама лекари след биопсията ми казаха , че е много вероятно да са завишили резултата , но аз все ме е страх.",0,0,0,0,108
Какво е вашето мнение?,0,0,0,0,22
Изписаха ми да пия три месеца Прим бораго Ойл не ми се пият хормони - това прогестерон ли е защото нищо не намерих какъв хормон съдържа .,0,0,0,0,137
"От два месеца пия и екстракт от кълнове на броколи освен добавките които ви бях писала по- горе, сега съм си поръчала и Индол- 3 карбонов с ресвератрол за да държа дисплазията на страна до колкото мога.",0,0,0,0,202
Правя и курсове с Виузид .,0,0,0,0,26
Вие какво бихте ме посъветвали да правя още?,0,0,0,0,44
Извинявам се за многото въпроси .,0,0,0,0,33
Благодаря ви предварително!,0,0,0,0,27
"Отново правих цитонамазка , която излезе нормална - Клетъчни елементи от сквамозен и ендоцервикален епител/ Суперфициални, интермедиерни и цилиндрични клетки.",0,0,0,0,158
Умерен брой неутрофилни левкоцити.,0,0,0,0,34
ПАП 2 .,0,0,0,0,7
"Какви са тези неутрофилни левкоцити , има ли още възпаление?",0,0,0,0,60
"През 2020 Януари с биопсия се установи CIN 1  аз отказах конизация , тогава ЧПВ беше отрицателно за всички високо рискови щамове все ме е страх да не закъснея за някой рак на шийката .",0,0,0,0,184
От тогава до сега имам 4 цитонамазки които са 2- ра група .,0,0,0,0,59
"Двама лекари след биопсията ми казаха , че е много вероятно да са завишили резултата , но аз все ме е страх.",0,0,0,0,108
Какво е вашето мнение?,0,0,0,0,22
Изписаха ми да пия три месеца Прим бораго Ойл не ми се пият хормони - това прогестерон ли е защото нищо не намерих какъв хормон съдържа .,0,0,0,0,137
"От два месеца пия и екстракт от кълнове на броколи освен добавките които ви бях писала по- горе, сега съм си поръчала и Индол- 3 карбонов с ресвератрол за да държа дисплазията на страна до колкото мога.",0,0,0,0,202
Правя и курсове с Виузид .,0,0,0,0,26
Вие какво бихте ме посъветвали да правя още?,0,0,0,0,44
Извинявам се за многото въпроси .,0,0,0,0,33
"Благодаря ви предварително!Здравейте, Евка!Не разбрах защо се е наложила биопсията на мат.",0,0,0,0,90
шийка.,0,0,0,0,6
"Имам впечатление, че сте редовно под контрол с прегледи на гинеколог, така че не би трябвало да се притеснявате.",0,0,0,0,112
"Ако не дай си Боже се развие нещо, то ще го уловите в начален стадий.",0,0,0,0,69
"Страхът е нещото, което е по-притеснително в случая.",0,0,0,0,52
"Опитайте се да потърсите своята сигурност в доверените Ви гинеколози, имайте им доверие.",0,0,0,0,88
"Имайте вяра, че нещата са под контрол и ще се наредят благоприятно за Вас.",0,0,0,0,74
"Защото Вие достатъчно се грижите за здравето си, имайки предвид изброените по-горе добавки.Желая Ви повече спокойствие!Бъдете здраваД-р Яница Раеваакушер-гинеколог",0,0,0,0,163
"Тогава не ми светна лампичката и след месец същият този доктор каза че имам леело плакия на шийката и последва биопсия , която се оказа оскъден хроничен екзоцервицит.",0,0,0,0,166
Изписа ми Деканцерин .,0,0,0,0,22
"През 2019 г ми каза ,че има бели плаки на колпоскопа и да спра да пия деканцерина и да си живея живота, обаче ми даде хистологията от първата биопсия и аз реших на своя глава да чета и лекувам сама та така до  Януари 2020 г , когато каза че има плаки и биопсия и се оказах с CIN 1.",0,0,0,0,281
"Тогава ми писна и отидох при друг лекар , затова ви писах  че все ме е страх да не изпусна нещо , ходя на 6 месеца и по- често понякога.",0,0,0,0,136
Чета от интернет за добавки и така.,0,0,0,0,35
"Като ти е насадено в главата лошата диагноза колкото и другите лекари да ти казват , че всичко е наред все си мислиш да не сгрешиш и да забавиш лечението ако е нещо лошо недай си боже.",0,0,0,0,184
Аз по в началото съм описала хистология и всичко.,0,0,0,0,49
Затова не мога да съм спокойна напълно.,0,0,0,0,39
Като добавки които приемам добре ли е дайте съвет за нещо друго което може да помогне в борбата с дисплазията.,0,0,0,0,110
Не съм и млада на 42 г.,0,0,0,0,23
Благодаря ви предварително !,0,0,0,0,28
"Може ли да ми помогнете , като ми препоръчате някакви добавки за регулиране на цикъла и кисти на яйчника .",0,0,0,0,106
"Вече три месеца пия Прим- бораго Ойл и гинеколожката каза да спра да пия всичко допълнително , като гъби , витамини и другите които бях изброила преди .",0,0,0,0,152
"Два месеца ми идва на 22 ден , два месеца ми идва на 27 ден и от 20 май 2021 г до днес 24 юни няма нищо тоест 35 ден.",0,0,0,0,117
Ако може нещо билково .,0,0,0,0,23
"Прим бораго Ойл го пих 3 пъти по 1 , следващите 2 месеца по 2 на ден .",0,0,0,0,70
Препоръчайте нещо моля ви .,0,0,0,0,27
Благодаря предварително !,0,0,0,0,25
Вече 61 дена съм без цикъл .,0,0,0,0,28
"Лекарките при които ходя са в отпуск и не знам какво да правя , да се притеснявам ли или не .",0,0,0,0,93
"На 17.08.21г или на 47 ден от цикъла ходих на гинеколог и тя ми каза , че ще ми дойде лигавицата на матката ми била 17 мм и имам малка киста 2 см .",0,0,0,0,147
"Миналият ми цикъл беше на 45 ден и беше много оскъден , като дни имаше 4-5 дена , но тече много- слабо .",0,0,0,0,104
"От днес спрях да пия Прим бораго Ойл , защото вече го пия от 5 месеца .",0,0,0,0,71
В къщи имам Промолит нор и мога да го предизвикам ама после пак влизам във вартележката на хормоните и това ако е навлизане в менопауза по добре да оставя така нещата .,0,0,0,0,168
Страх ме е да не се получи хиперплазия или полип на матката .,0,0,0,0,61
"Моля да ми помогнете , че вече ще се побъркам лягам и ставам с мисълта дали ще ми дойде.",0,0,0,0,88
"Някои ми казват по добре без цикъл от колкото на често и обилен , аз вече не знам какво да правя .",0,0,0,0,98
