text,Toxic,MedicalTerminology,NonToxic,MinorityGroup,sentence_length,labels
секс няма скандали има,0.0,1.0,0.0,0.0,22,1
ако не  до края без секс,1.0,0.0,0.0,0.0,24,0
"На вашите въпроси отговаря медицинския екип на ""Фрамар"".Вагиналната инфекция е често срещан проблем.",0.0,1.0,0.0,0.0,100,1
"От днес спрях да пия Прим бораго Ойл , защото вече го пия от 5 месеца .",0.0,1.0,0.0,0.0,71,1
затова се намесих когато тя спомена да взима пенсията на сестра ми та да й давала джобни като имала нужда то понеже видиш ли тая пенсия е толкова голяма че да се цепи на джобни и други затова имаше скандали като започнах да работя и не исках да й давам заплатата си че съм била малоумна и съм щяла да я изхарчвам за глупости и тн да не продължавам,1.0,0.0,0.0,0.0,347,0
"Така че, нивото на HE4 трябва винаги да се тълкува внимателно при пушачи, тъй като може да се тълкува погрешно като фалшиво положителен резултат.",0.0,1.0,0.0,0.0,145,1
не съм длъжна да отговарям но все пак разкошен е арчи дори и в гръбче със сладкото дупе,1.0,0.0,0.0,0.0,87,0
в българия търси талан имаше един талант за втори път мисля че се явяваше та таланта му беше да запали дузина цигари и да ги загаси на езика си след това да изпие малко шише от минерална вода без да го държи с ръце и накрая като за капак изяде овчо око като го попитаха варено ли е отговори че не знаел и му хрускало пълен кретен според мен но се записва и ходи с балния си костюм по разни участия и се прави буквално на шут само дето не е въобще смешен,0.0,1.0,0.0,0.0,453,1
отивам да сера,1.0,0.0,0.0,0.0,14,0
Нямам възможност да отида на лекар,0.0,1.0,0.0,0.0,34,1
ако бяхме в американска новела за секс щяхме да говорим,1.0,0.0,0.0,0.0,55,0
значи доста секс сте правили но все си го рязала за сериозна връзка,1.0,0.0,0.0,0.0,67,0
ама сега станаха много и просто не ми се занимава,0.0,0.0,1.0,0.0,49,2
"Как да се подготвя за секс, когато съм ‘активен’?",0.0,0.0,1.0,0.0,49,2
"ми правиха кюретаж след липса на сърдечен ритъм в 8г.с.Оказа се,че имам вродена тромбофилия.Първият ми цикъл бе на 18.03.(доста оскъден),продължи 7 дни,след няколко дни се появи слуз с кръв за окола 2-3дни.Посетих гинеколог,всичко беше наред,дори и кистата ,която имах я нямаше вече.Имах candida и ми предписаха Gynazol и Flucoric 150 еднократно.На 12.04.",0.0,1.0,0.0,0.0,355,1
оххх смея се с глас                   за мен няма разлика дали си говорим зо упражнения за корем бицепс или задник,1.0,0.0,0.0,0.0,114,0
тука е ебаси мъглата,1.0,0.0,0.0,0.0,20,0
нека да разширим примерите и с други зависимости алкохол секс наркотици,1.0,0.0,0.0,0.0,71,0
опитах да му покажа че за мен е важен той че държа на отношенията ни каквито и да са те но вече беше предпазлив и това ни превърна в секс приятелчета,1.0,0.0,0.0,0.0,149,0
виаграта и други хапчета за мъжка ерекция работят като релаксират мускулите и артериите на пениса което спомага за поголемия приток на кръв в пениса и от там подългата и постоянна ерекция,0.0,1.0,0.0,0.0,187,1
отношението което партньорите имат към секса и порното също може да окаже голямо влияние  ако по принцип се гледа на порното като на нещо неморално и негативно  това създава още поголеми предпоставки за срам и от там криене и гледане “тайно” на порно клипове,0.0,1.0,0.0,0.0,258,1
брат тая кви испански свирки прай х,0.0,0.0,1.0,0.0,35,2
хартия с разрязаната част надолу и     дупетата    нагоре не е моя снимката cdn,1.0,0.0,0.0,0.0,79,0
там апаратурата е добра но не зная доктор проданова дали разбира достатъчно от гърди,0.0,1.0,0.0,0.0,84,1
има и песен за една от гонзовиците чеpвено бели xyлигани ебали цеца жената на гонзо еба я косьо и цялo pота курвето цеца от cело мездра,1.0,0.0,0.0,0.0,135,0
тези показатели могат да бъдат важна индикация в случай на здравословни усложнения при развиваща се пневмония или вирус включително covid,0.0,0.0,1.0,0.0,137,2
"Тъй като ни е ясно, че няма да сложите презерватив следващия път, когато духате на някой, ви съветваме често да си правите здравни изследвания за полово-предавани болести, за да сте сигурни, че каквото и да сте лепнали е диагностицирано навреме и лекувано правилно.",1.0,0.0,0.0,0.0,265,0
след като се насмях найискрено съжалих модераторите – не знаех че работата им включва адекватна и безпристрастна оценка на кралските задници,1.0,0.0,0.0,0.0,140,0
"Единствените оплаквания, които имам от доста време са леко течение, без мирис, болка или сърбеж и често уриниране.",0.0,1.0,0.0,0.0,114,1
днес обаче сутринта целият пенис беше покрит с лепкав секрет тип сопол с леко жълт цвят,0.0,1.0,0.0,0.0,87,1
къв е тоя плейър свири ли трици,0.0,0.0,1.0,0.0,31,2
здравейте на всичкимоля за мнение преди намя и   дни    часа правихме секс и приятеля ми свърши вътрене съм сигурна дали съм във овулация но все пак да попитам късно ли е да си купя ескапел,0.0,1.0,0.0,0.0,189,1
Благодаря ви отново!,0.0,1.0,0.0,0.0,20,1
това е поскоро диагностицирано състояние и касае крайни варианти като психопати които изнасилват старици или целенасочено правят секс с такива,1.0,0.0,0.0,0.0,142,0
"Тази вечер пред вас, членовете на ЛГБТI+ общността, съюзници и приятели, бих искал да потвърдя, че сме решени да застанем рамо до рамо с вас“.",0.0,0.0,0.0,1.0,142,3
и се зачудих попа не трябва ли да е след миокардита,0.0,0.0,1.0,0.0,51,2
нищо не ни пречисамо ни липсва спонтанния секс,0.0,1.0,0.0,0.0,46,1
или в още полошо разведена кучка като мен,1.0,0.0,0.0,0.0,41,0
ама пък бяха готини като не правиха секс joy,1.0,0.0,0.0,0.0,44,0
как    сийка би трябвало да има сперма която да изглежда по същия начин както преди вазектомията,0.0,1.0,0.0,0.0,96,1
ани ако пак даде приятелят ти излишни пари за чуждото жилище просто е безволев глупак,1.0,0.0,0.0,0.0,85,0
"Тук може да получите консултация и съвет за симптоми, диагностика и лечение на баланопостит, баланит, орхит, епидидимит и други проблеми.",0.0,1.0,0.0,0.0,137,1
както казах и в един друг отговор  ако общоприетото е хетеро секс между двама партньори в мисионерска поза то това значи че всичко друго е ненормално,1.0,0.0,0.0,0.0,149,0
той гледа и се възбужда ама идва да праи секс с теб,1.0,0.0,0.0,0.0,51,0
за първи път ли забелязваш че след секс имаш бяла течност около влагалището,0.0,1.0,0.0,0.0,75,1
и започнах да следя дали има взето хапче след секс с мен,0.0,1.0,0.0,0.0,56,1
преди време постнах едно интервю на сера,0.0,0.0,1.0,0.0,40,2
ходи виж дали майка ти не я къпят ве педал,1.0,0.0,0.0,0.0,42,0
да не кажа голяма дума но да има човек с който мога да говоря за всичко в диалог без напрежение все едно ми е приятел е едно от най възбуждащите неща за мен               бившият ми мъж дева там диалог липсва с този човек не може да говориш без да стане сландал и без да те обяви за идиот скорпион в разговор изсиква да слушаш един вид и не е по всички теми диалогът е труден а с рачето говорим по   часа за всичко  философстване абстракции деца живот пералнята колата цената на газта книги филми изкуство,1.0,0.0,0.0,0.0,505,0
то ясно че да се точат нещата с години не е хубаво ама и бързата кучка слепи ги ражда,1.0,0.0,0.0,0.0,85,0
много ме притесняват идиотите патриоти,1.0,0.0,0.0,0.0,38,0
включвам   общи и често ползвани метода за подобряване на еротичната химия между партньори pleasure mappingзаделете специфично време в което да не инициирате вагинален секс а да прекарате времето опитвайки различен тип докосване скорост и натиск по цялото тяло по нежно по грубо със леко стискане или драскане и слушане гледане на реакциите на партньора,0.0,1.0,0.0,0.0,353,1
и точно тези които силно се тупат в гърдите какви демократи са и предлагат още начини за гласуване по пощата електронно все за да осигурят повече избиратели решават да изземат правото на гласуване с хартиени бюлетини,1.0,1.0,0.0,0.0,216,0
вчера изведнъж започна да пълзи да сяда от корем на дупе и се изправя в кошарата,1.0,0.0,0.0,0.0,80,0
ден    крака и дупе епик           който иска да си размаже краката да грабне десетките и да я прави,1.0,0.0,0.0,0.0,100,0
крещеше че съм курва и целият блок разбираше отделно че нямаше къде да отида,1.0,0.0,0.0,0.0,76,0
Пробвах и в комбинация със спорта и тамоксифена и тя изчезна.,0.0,1.0,0.0,0.0,61,1
"Предвид, че едното рецидивира и след лечение е необходимо да се обработва от хирург.",0.0,1.0,0.0,0.0,84,1
иначе желаещи за секс сигурно много,1.0,0.0,0.0,0.0,35,0
не свеждайте секса само до проникваневъзползвайте се от други начини за достигане на оргазъм  например орален секс или “предварителна игра”,0.0,1.0,0.0,0.0,139,1
кой ще е тоя луд да чака последния момент,0.0,0.0,1.0,0.0,41,2
бих добавила и порно актрисите,1.0,0.0,0.0,0.0,30,0
Започнала е да дебелее близо преди седмица и няколко дни.,0.0,1.0,0.0,0.0,57,1
моето е ясно joy относно изказването на керем и последвалото извинение яд ме хвана че се извинява на идиотите такава хубава дума използва салак laughing той би трябвало да е свикнал толкова години да чува глупости по свой адрес но явно сега е почувствал че е прекалил златно сърце има това момче,1.0,0.0,0.0,0.0,295,0
сера кутлубей и беркер гювен чакаха сета на озан да свърши в онзи ден,0.0,0.0,1.0,0.0,69,2
"Кандида албиканс и ми изписаха Macmiror 500 вагинални капсули 12 на брой,предписани наред с други лекарства, но това нещо направо ми помрачи целия ден!",0.0,1.0,0.0,0.0,151,1
аз съм на ръба на нервна криза но единствено което би ме успокоило и би ми върнало равновесието е да не се крие да и пише съобщения и да не прави секс с нея,1.0,0.0,0.0,0.0,156,0
или ако сте мъж с коя от дамите бихте правили секс,1.0,0.0,0.0,0.0,50,0
първата ми печка не помня марката беше със същите и се стопиха отвътре        сегашната е горение,0.0,0.0,1.0,0.0,97,2
до шокираните потребители  на    може да прави секс по взаимно съгласие и да законът е окей,1.0,0.0,0.0,0.0,91,0
"Някои гей мъже взимат Имодуим или което и да е лекарство, което спира стомашното разстройство, няколко часа преди секс, тъй като тези лекарства стягат червата и забавят процеса.",0.0,1.0,0.0,0.0,177,1
Няма причина да се притеснявате за това.,0.0,1.0,0.0,0.0,40,1
никой не е толкова луд да остави нещата на самотек и да умират по улиците,0.0,0.0,1.0,0.0,73,2
"Турция и Грузия, също кандидатки за присъединяване, активно нарушават правата на човека и основните свободи, включително полагат усилия за приемане на ново законодателство, насочено по-специално срещу ЛГБТИ+ хората.",0.0,0.0,0.0,1.0,215,3
"Картата на дъгата – годишният инструмент за сравнителен анализ на ILGA-Europe – се състои от „Картата на дъгата“ и „Индекс на дъгата„, както и от национални препоръки.",0.0,0.0,0.0,1.0,167,3
аз вярвам че тя е вярвала че всичко ще е розова приказка а то лайно в опковка от лъскав целофан,1.0,0.0,0.0,0.0,95,0
"Химикали в измивни продукти, спрейове или дори дрехи, които могат да влязат в контакт с интимната област, могат да раздразнят деликатната кожа и лигавица.Различните състояния, които причиняват инфекция или възпаление на влагалището, се обединяват с термина ""вагинит"".",0.0,1.0,0.0,0.0,267,1
"Резултатите са следните: He4 сега е 71.80  не съм пушила сутринта , което донякъде е успокоително , че може да е с такива стойности защото съм пушачка и то сериозна пуша по кутия на ден , вечер пия куркума , една добавка Седемчатка , витамин D , цефасел, през деня пия геритамин и гъби- шийтаке , рейши и майтаке.",0.0,1.0,0.0,0.0,313,1
не знам за корема той си е прикрит но според мен не са за хора с проблемен задник и бедра,1.0,0.0,0.0,0.0,89,0
същата тая баба докато бях малка гледаше порно пред мен,1.0,0.0,0.0,0.0,55,0
Трябваше да пия промолит нор 20 дни по 2.,0.0,1.0,0.0,0.0,41,1
И най-важното колко горе долу  колко да си подготвя за прегледа ?,0.0,1.0,0.0,0.0,65,1
пита ме удари ли сеаз се хиля като идиот,1.0,0.0,0.0,0.0,40,0
тъпанари има навсякъде разбира се,1.0,0.0,0.0,0.0,33,0
за девет години сте правили поне хиляда пъти секс,0.0,1.0,0.0,0.0,49,1
озан сера отново не може да говори както винаги така че ще кажа  тя искаше да благодари за подкрепата,0.0,0.0,1.0,0.0,101,2
става все по неприятна,0.0,0.0,1.0,0.0,22,2
имайте предвид че ако един мъж е заинтересован от вас като жена с която ще иска да има нещо повече от секс срещи той ще прави всичко възможно да ви вижда почесто,0.0,1.0,0.0,0.0,161,1
дали е ходил по курви и е хванал трипер,1.0,0.0,0.0,0.0,39,0
може и да съм расист но негрите които съм срещала са имали една такава специфична остра миризма на потта дори и да не са мръсни та не бих си купила продукт намекващ ми че ще мириша като негър,1.0,0.0,0.0,0.0,191,0
тотален идиот е къци точно днес да избере подобна песен,1.0,0.0,0.0,0.0,55,0
и на мен днеска ми е ебаси тъпия ден и освен всички съм на курс,1.0,0.0,0.0,0.0,63,0
казваше се еузебиуш еби,1.0,0.0,0.0,0.0,23,0
междувременно дойде март      и всички знаем какво последва от това  аз обаче се възползвах и лекаполека започнах да си изяснявам картинката  че при повечето двойки бебе от един път секс не се получава а за ранните загуби има причина и тя не е ами случва се,1.0,0.0,0.0,0.0,257,0
аз лично не съм се пазила от тежко нито от секс,1.0,0.0,0.0,0.0,47,0
абсолютна кучка,1.0,0.0,0.0,0.0,15,0
така се насили джун да прави секс  видя останалите че имат проблем с това вече и реши че няма да позволи на гилеад да й го причини и на нея,1.0,0.0,0.0,0.0,139,0
обаче с негрите не мисля че би се получило не е тоз матрял най много да се просне на земята и да се запревива чернилката,1.0,0.0,0.0,0.0,120,0
с такъв опит който ти позволява да се ориентираш иска ли те този човек обича ли те прави ли му се семейство с теб или още е на вълна размотаване купони секс,1.0,0.0,0.0,0.0,156,0
"Досега не сме имали възможност да присъстваме физически на София Прайд, тъй като датата съвпада с момент от годината, в който е почти невъзможно да пътуваме заради семейни ангажименти.",0.0,0.0,0.0,1.0,184,3
иначе след малко се изстрелвам към внучките после до личния лекар на мъжа ми ще ходя следобяд,0.0,0.0,1.0,0.0,93,2
зрелите хора могат по много начини да обидят де да беше само тая дума глупак,1.0,0.0,0.0,0.0,76,0
решавам драмите със секс,1.0,0.0,0.0,0.0,24,0
обява в интернет търся мъж за секс,1.0,0.0,0.0,0.0,34,0
Появиха се когато бях малък.,0.0,1.0,0.0,0.0,28,1
нов бардак със старите труженички пак,1.0,0.0,0.0,0.0,37,0
да да те хората са идиоти,1.0,0.0,0.0,0.0,25,0
а сексът си е секс не смятам да се лишавам,1.0,0.0,0.0,0.0,42,0
значи не те е срам да тръгнеш да правиш секс но ти е неудобно да проведеш откровен разговор,1.0,0.0,0.0,0.0,91,0
те винаги ще си имат пожеланото място        просто системата е идиотска от идиоти сътворена,1.0,0.0,0.0,0.0,92,0
някакво безсърдечно копеле го остави отстрани на пътя да умре,1.0,0.0,0.0,0.0,61,0
или съм идиот,1.0,0.0,0.0,0.0,13,0
секс бомба ли каква,1.0,0.0,0.0,0.0,19,0
разбирам го момичето че е било впечатлено от факт че не давал зор за секс но и при тоя тип мъже си има подводни камъни,1.0,0.0,0.0,0.0,118,0
"Силно ме интересува, защото не съм ходила никога на гинекологичен преглед и много се притеснявам.Не е уместно да се изследва по начина, който описвате.Освен това е силно препоръчително всяка жена периодично да ходи на профилактичен гинекологичен преглед с цел превенция и ранно откриване на заболявания.Зелен секрет насочва към инфекция.",0.0,1.0,0.0,0.0,337,1
пробвай със секс ананас много разходки или чистене стълби упражнения,1.0,0.0,0.0,0.0,68,0
"Комплекси и единични интермедиерни плоски клетки с лек ядрен полиморфизъм , без хипер- и полихромазия.",0.0,1.0,0.0,0.0,102,1
Клизмата и лекарството със сигурност ще ви подготвят за дълга вечер/нощ.,0.0,1.0,0.0,0.0,72,1
няма да се вземат едни пари които могат да се върнат и за половин година но тя ще се срамува от тялото си а той ще прави секс с половината от него,1.0,0.0,0.0,0.0,146,0
като радан кънев дето се изцепи с тоя бай хуй,1.0,0.0,0.0,0.0,45,0
и нито една престрелка проститутка и дрога няма в тях,1.0,0.0,0.0,0.0,53,0
Много въпроси извинявам се много.,0.0,1.0,0.0,0.0,33,1
аз като абсолютен музикален кретен и профан си признавам че си ги слушам и хаузер и лола отделно и заедно без всякакви забележки и всеки път като работим до късно диджействам без всякакви задръжки но удоволствието да изкодоша разни дами с изключителни превземки и претенции цена няма  дейвид гарет ще си го слушам и гледам и по памперс да ми излезе на сцената d и сериозно  правото на артиста да интерпретира е неотменно за мен,1.0,0.0,0.0,0.0,427,0
Този тип кървене може да включва зацапване на малки количества кръв между менструациите или тежко кървене.Анормалното вагинално кървене може да бъде свързано с проблем с репродуктивната система или с други медицински проблеми или някои лекарства.,0.0,1.0,0.0,0.0,246,1
ако трябва и лайно ще изям ако знам че ще подейства,1.0,0.0,0.0,0.0,51,0
малко извън темата ама вие само в тези   дена ли правите секс при условие че искате бебе,0.0,1.0,0.0,0.0,88,1
Извинявам се за многото въпроси .,0.0,1.0,0.0,0.0,33,1
здравейте момичета                    искам да попитам имате ли проблеми със спането дали често се задъхвате дали ви излизат тук там червени пъпки и дали имате протъркване между краката или зачервена вагина сърбеж,0.0,1.0,0.0,0.0,213,1
"От какво може да се дължи това, защото казва, че с всеки изминал ден, все повече се усеща , че дебелее.",0.0,1.0,0.0,0.0,103,1
и може да е спряла да се отчита при теб за секс,1.0,0.0,0.0,0.0,47,0
"Храня се изключително здравословно, наблягам на леките меса, яйца, кисело мляко, зеленчуци, плодове, естесвтени, бавни въглехидрати, като ориз, картофи, боб, грах, леща и т.н., сурови ядки, поне 3 л.",0.0,1.0,0.0,0.0,199,1
наркотици  снимала се е гола или дори в порно  проституирала е,1.0,0.0,0.0,0.0,62,0
секс и на искъра мога да правя ако ми е зор,1.0,0.0,0.0,0.0,43,0
бах тоя педераст много ме нерви,1.0,0.0,0.0,0.0,31,0
"Въпреки това не се споменава темата за транс спортистите, които са изправени пред все по-жестоки атаки срещу правото си да участват в училищни спортове, като републиканците се обединяват около забрани за транс спортисти в женските спортове.",0.0,0.0,0.0,1.0,240,3
за актьорските възможности мисля че няма две мнения по въпроса коя е по добра сера или бахар,0.0,0.0,1.0,0.0,92,2
и реших че няма да е зле да си купя тестове за овулация за да видя кога точно ще е и евентуално да наблегна на дните след положителният тест,0.0,0.0,1.0,0.0,140,2
ебаси какво им става на тея хлапета,1.0,0.0,0.0,0.0,35,0
казвали са че са много топли хора че не са толкова зле колкото се пише и обикновените хора са наясно че щатите имат апетити към природните им ресурси и прекрасна природа загубили са ваканционните си имоти там,0.0,0.0,1.0,0.0,208,2
и айде стига с тия глупости как си го била обичала че вече ми се припика от смях,1.0,0.0,0.0,0.0,80,0
прикачам снимка на гърдите си и бих се радвала на всякакви съвети относно самите импланти дали ще се получи добър резултат както и какво да питам доктора намислила съм въпроси но все пак да не пропусна нещо,0.0,1.0,0.0,0.0,206,1
една на бахаркабахар е много конфликтна личност много от хората които я следят не го и отричат самата тя беше наричала феновете глупаци и тн,1.0,0.0,0.0,0.0,140,0
интересно как изведнъж се загрижи за дъртите задници дето ги беше отписала преди известно време,1.0,0.0,0.0,0.0,95,0
от днес сме с ужасен обрив по цялото й дупе и по слабините,0.0,1.0,0.0,0.0,58,1
айдеее стана и импотент човекът защото не иска секс с превъзбудената си колежка,1.0,0.0,0.0,0.0,79,0
за    години откакто правя секс,0.0,1.0,0.0,0.0,31,1
Предполам сте се сблъсквала с такъв пациент и постига ли се то с Медаксон ?,0.0,1.0,0.0,0.0,75,1
страхотно прекрасно нещо носещо много удоволствие но ако е нежелано не е секс а изнасилване,1.0,0.0,0.0,0.0,91,0
според мъжете около мен един средностатистически мъж има нужда от привлекателна жена секс добра храна забави и приятно изкарване на времето заедно,0.0,1.0,0.0,0.0,146,1
Нямам никакво намерение да си слагам отново такава капсула.,0.0,1.0,0.0,0.0,59,1
пред офиса седи идин негър и на сръбски проповядва божието слово,1.0,0.0,0.0,0.0,64,0
впрочем ако твоят човек е бил идиот мислиш ли че ще се трогне да си го получи,1.0,0.0,0.0,0.0,77,0
ето ви еротикафлегмата прави секс,1.0,0.0,0.0,0.0,33,0
"Спомням си как в един такъв ден тя внезапно изстреля “Между другото, аз съм лесбийка”, веднага след което въздъхна “Ох, казах го на няколко души вече, и ти си първият човек на който го съобщавам без да ми избие пот по дланите.” Аз ѝ отвърнах “Е, аз пък съм бисексуална, въпреки че не ми се е налагало да го заявявам официално.” В последствие тя сподели, че от ранна тийнейджърска възраст е знаела, че ще напусне България, за да може да бъде свободно себе си.",0.0,0.0,0.0,1.0,458,3
ПАП 2 гр.,0.0,1.0,0.0,0.0,9,1
"След гласуването в парламента снощи, 15 февруари, със 176-76 гласа еднополовите двойки също ще имат и правото да осиновяват деца.",0.0,0.0,0.0,1.0,129,3
котката ни дето      давахме противозачатъчни вчера роди едно котенце,0.0,0.0,1.0,0.0,69,2
няма боклуци няма кравешки лайна по улиците чисто като за посещение от бай тошо,1.0,0.0,0.0,0.0,79,0
да разберат че това са им били най лежерните години и от тук нататък дупе да им е яко,1.0,0.0,0.0,0.0,85,0
някъде тук прочетох пост че който не може да си позволи втора година майчинство да не ражда,0.0,0.0,1.0,0.0,91,2
моята женска перспектива  спокойствие вкъщи и хубав секс,1.0,0.0,0.0,0.0,56,0
успях да намеря партньор с когото бях наистина щастлива  пасвахме си в желанията обичахме нестандартен секс  в рискови ситуации с играчки садомазо експериментите ни бяха постоянни и в продължение на   години наистина се радвах на секса,1.0,0.0,0.0,0.0,235,0
нищо не ми въздейства но аз и сера не я харесвам даже и с озан като е не я харесвам нищоче между сера и озан има много химия също,0.0,0.0,1.0,0.0,129,2
женската вагина не е там за да пази някакво съкровище напротив тя е там за да даде достъп до детеобразуващите органи,1.0,0.0,0.0,0.0,116,0
аз за добър секс и добро отношение бих се привързала към даден мъж и да не търся друг но само ако не иска пари от мен,1.0,0.0,0.0,0.0,117,0
каква е тази тема от теб  бях останал с впечатлението че си спец по въпросите за мъже нужди и секс,1.0,0.0,0.0,0.0,98,0
правихме секс  без предпазни средства,0.0,1.0,0.0,0.0,37,1
не се умира без секс но хора които искат секс трябва да се събират със себеподобни,1.0,0.0,0.0,0.0,82,0
защото масата мъже тук споделиха това  време секс и манджа,1.0,0.0,0.0,0.0,58,0
родоскослероскалимноспатмоссиминисирос и др,0.0,0.0,1.0,0.0,43,2
"Нямам сърбеж или парене, просто бърза загуба на свежестта въпреки ежедневната хигиенна грижа.",0.0,1.0,0.0,0.0,93,1
от няколко дни е много зле положението,0.0,0.0,1.0,0.0,38,2
