text,Toxic,MedicalTerminology,NonToxic,MinorityGroup,sentence_length
"А половината от респондентите у нас са били дискриминирани поне в една област от живота, като в анализа на агенцията се посочва, че това може да е посещение на кафене, ресторант, болница или магазин.",0,0,0,0,199
За Европейския съюз този показател е 37%.,0,0,0,0,41
Високи са нивата за насилие и тормоз.,0,0,0,0,37
"Повече от половината от анкетираните – в България 60%, казват, че са били подложени на тормоз през годината преди проучването.",0,0,0,0,126
В Европейския съюз този процент е малко по-малък – 54%.,0,0,0,0,55
"Същевременно много малко хора търсят съдействие от страна на полицията – едва един от десет в България е съобщавал за физическо или сексуално нападение, както и за преживявана дискриминация.",0,0,0,0,190
"По този показател България е на нивата, средни в Европейския съюз.",0,0,0,0,66
"От Агенцията призовават държавите да предприемат определени мерки за справяне с проблемите, които проучването индикира.",0,0,0,0,119
"Сред тях са инвестиране в обучения за служителите на органите на реда с цел по-ефективно регистриране и разследване на престъпления от омраза срещу ЛГБТИ+ хората, така че жертвите да се чувстват в безопасност, когато подават сигнал, и да получават справедливо отношение.",0,0,0,0,270
Целият материал на Лора Филева може да прочетете в Дневник.,0,0,0,0,59
"Организационният комитет на София Прайд отбеляза Meждународния ден срещу хомофобията, бифобията и трансфобията със събитие, което събра на едно място дипломати, журналисти, артисти и представители на бизнеса и неправителствени организации в България.",0,0,0,0,250
"Събитието се провежда за трета поредна година и се организира от фондация GLAS, като този път домакини бяха посолството на Великобритания в България и посолството на кралство Нидерландия в България.",0,0,0,0,198
По време на събитието Н.,0,0,0,0,24
Пр.,0,0,0,0,3
"Д-р Роб Диксън, посланик на Великобритания в България, призова гостите да разсъждават върху целите на тазгодишния IDAHOBIT – Международен ден за борба с хомофобията, бифобията и трансфобията: „Да не изоставяме никого: Равенство, свобода и справедливост за всички“.",0,0,0,0,264
"Диксън каза, че това е призив към всички нас да прегърнем многообразието и да работим за пълно включване – у дома, на работа и в законодателството.",0,0,0,0,147
"Той допълни: „Събитията на и около Международния ден за борбата с хомофобията, бифобията и трансфобията имат за цел да привлекат вниманието към дискриминацията и насилието, пред които са изправени ЛГБТИ+ хора по света.",0,0,0,0,218
"Тази вечер пред вас, членовете на ЛГБТI+ общността, съюзници и приятели, бих искал да потвърдя, че сме решени да застанем рамо до рамо с вас“.",0,0,0,0,142
Миналото лято бяха приети някои важни и дългоочаквани промени в българското законодателство.,0,0,0,0,92
Възприеманата или действителна сексуална ориентация вече е утежняващ фактор в случаите на престъпления от омраза.,0,0,0,0,113
"Поздравявайки хората, които работиха за промяната в закона за разширяване на защитата срещу престъпления от омраза, британският посланик каза: „Знам, че много от вас тук тази вечер бяха активни, за да гарантират, че тези важни промени са реалност.",0,0,0,0,247
"Честито!“ Той допълни, че има много много държави, които все още имат да извървят път докато осигурят пълно равенство за ЛГБТИК+ хората и отбеляза, че е важно да празнуваме напредъка и да се ангажираме да го надграждаме.",0,0,0,0,220
Н.Пр.,0,0,0,0,5
"Симон ван дер Бург, посланик на кралство Нидерландия в България: “Нидерландия приветства съвместна работа и диалог между ключовите участници с цел да сложи край на глобалното и системно насилие, дискриминация и криминализация, с която се сблъскват ЛГБТИ+ хората.",0,0,0,0,262
"Поздравявам неправителствените организации, които се борят с това и работят за повишаването на общественото приемане на ЛГБТИ+ хората навсякъде.",0,0,0,0,144
Ние сме с вас.”,0,0,0,0,15
"София Прайд 2024, най-голямото събитие в защита на човешките права в България, ще се проведе на площад “Княз Александър I Батенберг” на 22 юни.",0,0,0,0,143
Вратите на събитието отварят в 14:00 часа.,0,0,0,0,42
"Новата локация ще бъде домакин на концерт, който започва в 16:00 часа и предхожда протестното шествие.",0,0,0,0,102
Той събира на сцената си едни от най-големите музикални звезди в България.,0,0,0,0,74
София Прайд отново ще даде възможност на млади артисти да се изявят и да пеят пред хиляди.,0,0,0,0,90
"Докато Европа се приближава към многобройни избори, включително изборите за Европейски парламент следващия месец, правата на ЛГБТИ+ хората се превръщат в маркер за защита на свободата и демокрацията на фона на възхода на крайно десните сили, показва новата „Карта на дъгата„.",0,0,0,0,275
"Европейската ЛГБТИ+ организация ILGA-Europe представи за шестнадесета поредна година „Карта на дъгата„, която подрежда 49 европейски държави по законодателни промени в областта на човешките права на ЛГБТИ+ общността.",0,0,0,0,216
"Тази година картата показва, че докато авторитарните лидери в Европа продължават да използват обвиненията срещу ЛГБТИ+ хората, за да разделят и мобилизират своите избиратели, други показват твърда политическа воля да спазват ангажиментите си за развитие и защита на човешките права на ЛГБТИ+ общността.",0,0,0,0,302
"В момент, когато някои италиански региони отнемат родителските права на еднополовите двойки, когато в Словакия, Хърватия, Франция и Обединеното кралство се полагат усилия за пренаписване на насоки за ограничаване на достъпа до специфично за транс лицата здравно обслужване и когато сме свидетели на безпрецедентната стъпка на Русия да криминализира „международното ЛГБТ движение“ като „екстремистка организация„, констатациите на тазгодишната „Карта на дъгата“ показват по-ясно от всякога, че само правната защита може да гарантира спазването на основните права.",0,0,0,0,562
"„Картата на дъгата“ се публикува само ден след доклада на Агенцията на Европейския съюз за основните права „Проучване на ЛГБТИ+ общността III„, в който се констатира, че над две трети от анкетираните са се сблъсквали с изявления на омраза и че насилието се е увеличило значително в сравнение с последното проучване през 2019 г.",0,0,0,0,327
"Според директора по застъпничеството на ILGA-Europe, Катрин Хугендубел: „В цяла Европа ЛГБТИ+ хората са обект на реч на омразата и насилие, а човешките им права се подкопават активно, но все още виждаме, че твърде много държави в региона се бавят с придвижването на правната защита и не подновяват ангажиментите си чрез национални стратегии и планове за действие.",0,0,0,0,363
"Това бездействие е опасно, тъй като без подходящо законодателство за защита на малцинствата, включително ЛГБТИ+ хората, за новоизбраните правителства ще бъде твърде лесно бързо да подкопаят правата на човека и демокрацията.“",0,0,0,0,224
"„Картата на дъгата“ показва, че някои правителства са направили крачка напред в това отношение.",0,0,0,0,95
"В годината на повече от 30 избори в целия регион, включително изборите за Европейски парламент следващия месец, картата показва силна политическа воля за защита на човешките права на ЛГБТИ+ общността в няколко държави.",0,0,0,0,218
"Германия, Исландия, Естония, Лихтенщайн и Гърция отбелязаха едни от най-големите скокове в класацията на „Картата на дъгата„.",0,0,0,0,125
"Както Естония, така и Гърция измениха законите си, за да позволят на еднополовите двойки да сключват брак и да осиновяват деца, Гърция също така запълни пропуските в антидискриминационното си законодателство, за да защити напълно ЛГБТИ+ хората, а Лихтенщайн разшири правата за осиновяване от еднополови двойки.",0,0,0,0,310
"Държавите също така работят усилено за въвеждане на мерки в областта на престъпността, които признават половата идентичност и сексуалната ориентация на жертвата като утежняващ фактор.",0,0,0,0,183
"Германия, която направи най-голям скок в класацията тази година, криминализира престъпленията от омраза, основани на сексуална ориентация, полова идентичност и полови характеристики.",0,0,0,0,182
"Други държави, които приемат закони срещу престъпленията от омраза, са България, Исландия (която скочи до №2 в класацията) и Словения.",0,0,0,0,134
"Забрани на практиките на конверсионна терапия, с които също се упражнява насилие срещу ЛГБТИ+ хората, бяха въведени в Белгия, Кипър, Исландия, Норвегия и Португалия.",0,0,0,0,165
"Но други държави, като Италия, която падна с две места в класацията поради забавяне на законодателната защита в продължение на много години, показват какво може да се случи, когато няма законодателство и на власт дойдат крайно десни правителства.",0,0,0,0,246
"Повечето присъединяващи се към ЕС страни (Албания, Босна и Херцеговина, Косово, Молдова, Черна гора, Северна Македония, Сърбия, Украйна) изостават в изпълнението на ангажиментите си, забавят въвеждането на законодателството и по този начин излагат гражданите си на все по-голям риск от реална реакция и подкопаване на основните права.",0,0,0,0,334
"Турция и Грузия, също кандидатки за присъединяване, активно нарушават правата на човека и основните свободи, включително полагат усилия за приемане на ново законодателство, насочено по-специално срещу ЛГБТИ+ хората.",0,0,0,0,215
"Грузия, една от най-скоро присъединилите се страни, потушава проевропейските протести срещу предложения от нея закон за „чуждестранните агенти„, който идва директно от руския наръчник срещу „ЛГБТ пропагандата„.",0,0,0,0,210
"Според изпълнителния директор на ILGA-Europe, Шабер: „ЕС трябва да обърне голямо внимание не само на нарастването на политическата реч на омразата срещу ЛГБТИ+ хората, но и на новите инструменти за потисничество, като руското криминализиране на цял сегмент от населението на страната.",0,0,0,0,284
"Усилията за разделение и отвличане на вниманието от консолидираните авторитарни режими допълнително се просмукват в други европейски държави в момент, когато изборите могат да тласнат Европа в ръцете на лидери, които искат да оформят радикално десен, антидемократичен Европейски съюз.",0,0,0,0,284
Европа се нуждае от по-силни закони и политики за защита на ЛГБТИ+ хората.,0,0,0,0,74
"Без тях не можем да говорим нито за безопасност, нито за върховенство на закона и демокрация.“",0,0,0,0,94
"Картата на дъгата – годишният инструмент за сравнителен анализ на ILGA-Europe – се състои от „Картата на дъгата“ и „Индекс на дъгата„, както и от национални препоръки.",0,0,0,0,167
ILGA-Europe изготвя картата и индекса от 2009 г.,0,0,0,0,48
"насам, като ги използва, за да илюстрира правното и политическото положение на ЛГБТИ+ хората в Европа.",0,0,0,0,102
Те класират европейските държави по съответните им правни и политически практики за ЛГБТИ+ хората от 0 до 100%.,0,0,0,0,111
"За да състави класацията, ILGA-Europe проучва законите и политиките в 49 държави, като използва 75 критерия, разпределени в седем тематични категории: равенство и недискриминация; семейство; престъпления от омраза и реч на омразата; законово признаване на пола; телесна неприкосновеност на интерсекс лицата; пространство на гражданското общество и убежище.",0,0,0,0,356
"Картата и индексът представят картина на настоящия политически пейзаж, а препоръките за отделните държави се опитват да отговорят на въпроса „какво следва?„.",0,0,0,0,157
Тези препоръки имат за цел да насърчат създателите на политики да се заемат с най-неотложните правни и политически приоритети.,0,0,0,0,126
"През тази година уебсайтът на „Картата на дъгата“ беше подновен с нов облик и включва функции, които позволяват подобрена визуализация на данните, както и по-гъвкав и удобен за ползване достъп до тях.",0,0,0,0,200
За девета поредна година Малта продължава да заема първото място с резултат от 88%.,0,0,0,0,83
"С 83 процента Исландия е на второ място, като се изкачи с три места в резултат на новото законодателство, забраняващо конверсионната терапия и при-транс здравни закони.",0,0,0,0,168
Белгия също забрани конверсионната терапия и сега заема трето място в класацията с резултат от 78 процента.,0,0,0,0,107
"Трите държави в другия край на скалата на „Картата на дъгата“ са Русия (2%), Азербайджан (2%) и Турция (5%).",0,0,0,0,108
"Русия загуби 7 процента и падна с 3 места заради федералното законодателство, забраняващо юридическото признаване на пола и специфичното за транс хората здравеопазване.",0,0,0,0,168
"Полша все още е в края на класацията на ЕС с 18%, следвана от Румъния (19%) и България (23%).",0,0,0,0,93
"Въпреки ниския резултат на България и 39-та позиция, страната ни бележи скок от миналогодишния резултат – 19,8% през 2023.",0,0,0,0,122
"Това се дължи на приемането на закони, които признават сексуалната ориентация на жертвата като утежняващо вината обстоятелство, решенията по делото „Бебе Сара“, както и работата на фондациите GLAS и Bilitis, БХК, правната ЛГБТИ+ организация „Действие“ и комитетът по организиране и провеждане на София Прайд.",0,0,0,0,308
Повече информация ще откриете на сайта на „Карта на дъгата„.,0,0,0,0,60
"Подкрепете европейската гражданска инициатива My Voice, My Choice („Моят глас, моят избор“) за правото на безопасен и достъпен аборт, като подпишете тук.",0,0,0,0,153
"Това излага на риск не само физическото им здраве, но създава неоправдан икономически и психически стрес за тях, техните семейства и близки, като често най-застрашени са жените от уязвими групи.",0,0,0,0,194
"Кампанията My Voice, My Choice предлага на хората в Европа възможност да направят живота на жените по-свободен, по-безопасен и по-добър, където и да живеят в Съюза, независимо от условията, в които се намират.",0,0,0,0,209
"Липсата в много части на Европа на достъп до аборт не само излага жените на риск от физическо увреждане, но също така ги подлага на ненужен икономически и психически стрес, често в маргинализираните общности, които най-трудно могат да се справят с това.",0,0,0,0,253
"Добре документирано е, че третирането на репродуктивните грижи като лукс не намалява абортите, а само води до това жените да предприемат опасни аборти.",0,0,0,0,151
"Инициативата призовава Комисията — в дух на солидарност — да представи предложение за финансова подкрепа на държавите членки, така че да стане възможно безопасното прекратяване на бременност за всеки в Европа, който все още няма достъп до безопасен и законен аборт.",0,0,0,0,265
"В много случаи животът и поминъкът са прекратени, нарушени или загубени поради липсата на достъп до безопасен аборт.",0,0,0,0,116
"С тази европейска гражданска инициатива ще се доближим до по-справедлива политика, която изразява нашите европейски ценности по-състрадателно и конкретно.",0,0,0,0,154
"Ако петицията събере 1 милион подписа, Европейската комисия е длъжна да разгледа исканията на инициативата.",0,0,0,0,107
Споделете и подпишете тук.,0,0,0,0,26
"В петък администрацията на Байдън финализира новите широкообхватни допълнения в закона за борба с дискриминацията, за да защити хората в държавните училища и университети от дискриминация и тормоз, основани на пол и сексуална ориентация.",0,0,0,0,237
Допълненията към дял IX – предложени за първи път през 2022 г.,0,0,0,0,62
"– означават, че правата на ЛГБТИ+ учениците ще бъдат защитени от федералния закон, а освен това жертвите на сексуално насилие в университетските кампуси ще получат гаранции и допълнителна подкрепа.",0,0,0,0,197
Финализираните допълнения предоставят изрична защита на учениците и студентите от ЛГБТИ+ общността и изрично забраняват дискриминацията въз основа на сексуална ориентация и полова идентичност.,0,0,0,0,192
"Въпреки това не се споменава темата за транс спортистите, които са изправени пред все по-жестоки атаки срещу правото си да участват в училищни спортове, като републиканците се обединяват около забрани за транс спортисти в женските спортове.",0,0,0,0,240
"Руски конкурс за поезия забранява на транс хора да изпращат творби тази година, като по думите на организаторите това е опит да се „защитят традиционните ценности“, съобщава Ройтерс.",0,0,0,0,182
"Конкурсът за поезия „Андрей Дементиев“ приема литературни произведения до края на месец април от поети „независимо от гражданството, националността, професията и местоживеенето им„.",0,0,0,0,181
"Според правилата, обаче, публикувани на уебсайта на местната организация за поезия, конкурсът изрично не допуска „граждани, които са сменили пола си„.",0,0,0,0,150
"Организаторите на конкурса заявиха, че този ход е опит да се „запазят традиционните за руското общество представи за брака, семейството, майчинството, бащинството и детството„.",0,0,0,0,176
"Под ръководството на президента Владимир Путин, Русия активно се бори срещу ЛГБТИ+ общността, представяйки куиър хората като западно изобретение, което застрашава традиционните руски ценности.",0,0,0,0,192
"Неотдавна Русия определи „ЛГБТИ+ движението„, като екстремистко, а тези, които го подкрепят – като терористи, което открива възможности за водене на сериозни наказателни дела срещу ЛГБТИ+ хората в Русия и техните защитници.",0,0,0,0,223
"В понеделник иракските депутати отложиха гласуването на законопроект, който предвижда смъртно наказание или доживотен затвор за еднополови връзки – мярка, която според дипломати от западни страни може да има сериозни последици за политическите и икономическите отношения на Ирак, ако бъде приета.",0,0,0,0,296
"Законопроектът предвижда доживотен затвор или смъртно наказание за всеки, който участва в „еднополови отношения“.",0,0,0,0,113
"Той също така криминализира обсъждането и популяризирането на теми, свързани с ЛГБТИ+ общността, а нарушителите ще се наказват с минимална присъда от седем години затвор.",0,0,0,0,170
"Двама депутати, участвали в заседанието, заявиха, че гласуването е било отложено поради недостиг на време и че са останали някои разногласия по предложените изменения.",0,0,0,0,167
"Понастоящем предимно мюсюлманският Ирак не криминализира изрично сексуалните отношения между мъже, но слабо дефинирани клаузи за морал в наказателния кодекс се използват за преследване на ЛГБТИ+ хората в страната.",0,0,0,0,213
"Парламентът заседаваше, за да гласува законопроекта, само няколко часа преди министър-председателят Мохамед Шиа ал-Судани да се срещне с президента на САЩ Джо Байдън във Вашингтон по време на пътуване, посветено на настояването за повече американски инвестиции.",0,0,0,0,261
В сряда парламентът на Тайланд одобри с огромно мнозинство законопроект за равенство на браковете.,0,0,0,0,98
"Законопроектът, подготвян повече от десетилетие, беше подкрепен от всички основни партии в Тайланд – 400 от присъстващите 415 депутати, като само 10 гласуваха против.",0,0,0,0,166
"Той все още се нуждае от одобрението на Сената и подкрепата на краля, преди да стане закон и да влезе в сила 120 дни по-късно.",0,0,0,0,126
"Тайланд отдавна е притегателна точка за еднополовите двойки, с оживена и видима социална сцена за местни и емигранти, както и с целенасочени кампании за привличане на ЛГБТИ+ туристи.",0,0,0,0,182
"В сряда парламентът на Гана се приближи до гласуването на законопроект, който има за цел да ограничи още повече правата на ЛГБТИ+ хората, като отхвърли предложение, което предвиждаше да замени наказанието лишаване от свобода за секс между мъже да бъде заменен с наказания, които не са свързани с лишаване от свобода, като например консултации.",0,0,0,0,343
"Коалиция от християнски, мюсюлмански и ганайски традиционни лидери подкрепиха по-строгия закон, който се ползва с подкрепата на повечето законодатели.",0,0,0,0,150
То ще наказва насърчаването на правата на ЛГБТИ+ общността с до 10 години затвор.,0,0,0,0,81
"В западноафриканската страна сексът между хора от един и същи пол вече се наказва с до три години затвор, а според законопроекта размерът на наказанието ще се увеличи на пет години.",0,0,0,0,181
"Законопроектът, който е един от най-строгите по рода си в Африка, ще бъде прецизиран, за да бъде гласуван в парламента.",0,0,0,0,119
"Ако той бъде одобрен, за да влезе в сила, ще е необходимо съгласието на президента Нана Акуфо-Адо, който все още не е потвърдил дали ще даде своята подкрепа.",0,0,0,0,157
Инициаторите се стремят законопроектът да бъде приет до март.,0,0,0,0,61
"Обсъждането на предложения законопроект засили страховете в ЛГБТИ+ общността, която вече е изправена пред злоупотреби и враждебност, казват активисти.",0,0,0,0,150
"Гърция стана първата страна с преобладаващо православно християнско население, която узакони еднополовите бракове.",0,0,0,0,114
"След гласуването в парламента снощи, 15 февруари, със 176-76 гласа еднополовите двойки също ще имат и правото да осиновяват деца.",0,0,0,0,129
"Министър-председателят Кириакос Мицотакис заяви, че новият закон „смело ще премахне едно сериозно неравенство„.",0,0,0,0,111
"Това решение раздели страната, като православната църква оказа ожесточена съпротива.",0,0,0,0,84
Нейни поддръжници проведоха протестен митинг в Атина.,0,0,0,0,53
"Мнозина издигнаха знамена, държаха кръстове, четоха молитви и откъси от Библията на столичния площад Синтагма.",0,0,0,0,110
"Главата на православната църква, архиепископ Йероним, заяви, че мярката ще „развали социалното единство на родината„.",0,0,0,0,117
"Законопроектът се нуждаеше от обикновено мнозинство, за да премине през 300-членния парламент.",0,0,0,0,94
"Мицотакис се застъпи за законопроекта, но за да го прокара, се нуждаеше от подкрепата на опозиционните партии, тъй като десетки депутати от неговата дясноцентристка управляваща партия бяха против.",0,0,0,0,196
"„Хората, които са били невидими, най-накрая ще станат видими около нас, а заедно с тях и много деца най-накрая ще намерят любящ дом.„, заяви министър-председателят пред парламента по време на дебата преди гласуването.",0,0,0,0,217
"„Реформата прави живота на голяма част от нашето общество по-добър, без да отнема нищо от живота на останалите.“",0,0,0,0,112
Гласуването беше приветствано от ЛГБТИ+ организациите в Гърция.,0,0,0,0,63
"„Това е исторически момент„, заяви пред агенция Ройтерс Стела Белия, ръководител на групата на еднополовите родители Rainbow Families.",0,0,0,0,134
15 от 27-те членки на Европейския съюз вече са узаконили еднополовите бракове.,0,0,0,0,78
Брачно равенство има в 35 държави по света.,0,0,0,0,43
"Досега Гърция изоставаше от някои от европейските си съседи, до голяма степен поради съпротивата на църквата.",0,0,0,0,109
"Гърция е първата страна в Югоизточна Европа, в която е въведено брачното равенство.",0,0,0,0,83
Важна част от живота на гей мъжете е посветена на изкуството на аналния секс.,0,0,0,0,77
"Според някои той е невероятно изживяване, според други – болезнен и неприятен опит.",0,0,0,0,83
"Разбира се, има правилен и неправилен начин и опита се изгражда с времето.",0,0,0,0,74
"При много малко гей мъже, които харесват пасивната роля, неземната наслада се е появила от самото начало.",0,0,0,0,105
"Понякога са нужни години опит, както и полезни съвети, като тези, които ще прочетете тук:",0,0,0,0,89
Консумирайте големи количества фибри:,0,0,0,0,37
Първото и най-важно правило за пасивните гей мъже е „внимавайте как се храните“.,0,0,0,0,80
"В интернет ще откриете много истории на вегетарианци, които дори не си правят клизма преди анален секс – причината за това е, че приемат достатъчно количество фибри и режимът им позволява да бъдат напълно чисти.",0,0,0,0,211
"Тези, които се хранят с месо пък пият добавки с фибри.",0,0,0,0,54
"Фибрите са изключително полезни за тези, които искат да се изчистят по-лесно.",0,0,0,0,77
"Не прекалявайте с дозата, обаче, и пийте достатъчно вода.",0,0,0,0,57
Открийте най-подходящия начин за подготовка:,0,0,0,0,44
Някои пасивни сами усещат кога са готови.,0,0,0,0,41
"Те имат невероятната способност да са сигурни, че дебелото им черво е кристално чисто и нямат нужда от никаква друга подготовка.",0,0,0,0,128
"Те, обаче, не се срещат толкова често и си остават мистерия за повечето.",0,0,0,0,72
Най-често използваният метод за подготовка е клизмата с т.нар.,0,0,0,0,62
‘анален душ’.,0,0,0,0,13
В повечето случаи те вършат добра работа.,0,0,0,0,41
Отделете си време за подготовка:,0,0,0,0,32
"Не е хубаво да претупвате подготовката за анален секс, когато си правите клизма.",0,0,0,0,80
"Не е достатъчно просто да вкарате малко вода, нужно е и да отпуснете мускулите си и да се почувствате комфортно с чувството на проникване преди да преминете към играта.",0,0,0,0,168
Указания за правенето на клизма ще намерите лесно в интернет.,0,0,0,0,61
Най-ключовото е да не използвате твърде студена или твърде гореща вода и да се въоръжите с търпение.,0,0,0,0,100
Тренирайте се със секс играчки:,0,0,0,0,31
"Оргазмът по време на анален секс е винаги по-мощен, но много гей мъже обичат и чувството на отварянето отпускането на аналния сфинктер.",0,0,0,0,135
