,Word,Toxic/Indecent,Medical/Biological,Multiple Meanings,Related to LGBT/Other
238,сперми,1,1,0,0
239,спермите,1,1,0,0
240,срал,1,0,0,0
241,ташак,1,0,0,0
242,ташаци,1,0,0,0
243,труженичка,1,0,1,0
244,труженичката,1,0,1,0
245,труженички,1,0,1,0
246,труженичките,1,0,1,0
247,тънкохуй,1,0,0,0
248,тъпак,1,0,0,0
249,тъпанар,1,0,0,0
250,тъпанари,1,0,0,0
251,уруспии,1,0,0,0
252,уруспиите,1,0,0,0
253,уруспия,1,0,0,0
254,уруспията,1,0,0,0
255,хомо,1,1,0,1
256,хуй,1,0,0,0
257,хуя,1,0,0,0
258,цица,1,0,0,0
259,цицата,1,0,0,0
260,цици,1,0,0,0
261,циците,1,0,0,0
262,цомбари,1,0,0,0
263,цомби,1,0,0,0
264,цомбите,1,0,0,0
265,чалми,1,0,1,1
266,чалмите,1,0,1,1
267,чекиджии,1,0,0,0
268,чекиджиите,1,0,0,0
269,чекиджия,1,0,0,0
270,чекиджията,1,0,0,0
271,чекии,1,0,0,0
272,чекиите,1,0,0,0
273,чекия,1,0,0,0
274,чекията,1,0,0,0
275,чернилка,1,0,1,1
276,чернилката,1,0,1,1
277,чернилки,1,0,1,1
278,чернилките,1,0,1,1
279,чикиджия,1,0,0,0
280,чикия,1,0,0,0
281,чифут,1,0,0,0
282,чифута,1,0,0,0
283,чифути,1,0,0,0
284,чифутите,1,0,0,0
285,чукам,1,0,1,0
286,чукат,1,0,1,0
287,шафрантии,1,0,0,0
288,шафрантиите,1,0,0,0
289,шафрантия,1,0,0,0
290,шафрантията,1,0,0,0
291,шибан,1,0,0,0
292,шибани,1,0,0,0
293,шибаните,1,0,0,0
294,шибания,1,0,0,0
295,шибаният,1,0,0,0
296,шибано,1,0,0,0
297,шибаното,1,0,0,0
298,шунда,1,0,0,0
299,шундата,1,0,0,0
